date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-09 20:00:37,CoinDesk,,8,16,31,". @block_one_ says the time is right for it to take an active role in the EOS community voting for block producers. @paddybaker_ reportshttps://www.coindesk.com/block-one-plans-to-start-voting-on-eos-the-blockchain-it-birthed …",,@block_one_ @paddybaker_,,1248340057393713152,https://twitter.com/CoinDesk/status/1248340057393713152
2020-03-27 03:08:45,CoinDesk,,0,7,29,"EOS creator @block_one_ has acquired the team behind once-prominent block producer @eosnewyork, which has now entirely ceased operations. @paddybaker_ reports.https://www.coindesk.com/block-one-absorbs-team-behind-now-defunct-block-producer-eos-new-york …",,@block_one_ @eosnewyork @paddybaker_,,1243374372049608705,https://twitter.com/CoinDesk/status/1243374372049608705
2020-02-24 05:01:48,CoinDesk,,39,40,122,"IN DEPTH: Buying votes is a big no-no in traditional democracies, but on the world’s eighth-largest blockchain, $EOS, it has become the norm. @BradyDale reports.http://ow.ly/mR6c50ytRKb",,@BradyDale,,1231806410394087424,https://twitter.com/CoinDesk/status/1231806410394087424
2020-01-18 21:15:07,CoinDesk,,13,30,50,"ICYMI: EOSIO creator @block_one_'s new social network, Voice, will launch on a purpose-built blockchain, and not the public EOS network. http://ow.ly/jxLW50xYCsK by @BradyDale",,@block_one_ @BradyDale,,1218643001410494464,https://twitter.com/CoinDesk/status/1218643001410494464
2020-01-17 16:45:20,CoinDesk,,38,25,81,"In a departure from earlier announcements, @block_one_ now says its Facebook rival, @voicesocial_, ""will be run on a purpose-made EOSIO blockchain,"" not EOS itself. http://ow.ly/tlxw50xYhMd @BradyDale reports",,@block_one_ @voicesocial_ @BradyDale,,1218212721210032130,https://twitter.com/CoinDesk/status/1218212721210032130
2019-12-17 18:07:22,CoinDesk,,2,12,21,"NEW: @block_one_'s EOS VC is looking for both ""world-conquerors and local heroes"" for its new grants program. http://ow.ly/VCFR50xCq4k @paddybaker_ reports",,@block_one_ @paddybaker_,,1206999341715599360,https://twitter.com/CoinDesk/status/1206999341715599360
2019-12-12 14:11:07,CoinDesk,,3,21,45,"Equilibrium will hold 6.5 million EOS tokens in reserve as an insurance policy for users should its stablecoin lose its peg. Report by @realDannyNelsonhttp://ow.ly/pqK850xyodQ",,@realDannyNelsonhttp,,1205127946987552768,https://twitter.com/CoinDesk/status/1205127946987552768
2019-11-11 22:16:35,CoinDesk,,1,15,35,"IN DEPTH: Maximum transactions: How a project called #EIDOS is congesting the #EOS blockchain. http://ow.ly/bI4O50x8bh5 @BradyDale reports",,@BradyDale,#EIDOS #EOS,1194016097193910272,https://twitter.com/CoinDesk/status/1194016097193910272
2019-10-08 04:03:57,CoinDesk,,4,5,22,"OP-ED: @mikejcasey wades into the thorny issue of the U.S. government settlement struck with blockchain startup @block_one_ over its EOS ICO. http://ow.ly/RABC50wFhNJ",,@mikejcasey @block_one_,,1181419935941251072,https://twitter.com/CoinDesk/status/1181419935941251072
2019-09-30 22:56:03,CoinDesk,,54,209,414,"BREAKING: @block_one_ will pay $24 million after settling charges from @SEC_News that it operated an unregistered securities sale with its $4.1 billion raise for the $EOS blockchain. http://ow.ly/AlNT50wxxrJ @nikhileshde reports",,@block_one_ @SEC_News @nikhileshde,,1178805738698883074,https://twitter.com/CoinDesk/status/1178805738698883074
2019-09-25 19:06:08,CoinDesk,,5,19,57,"http://Block.One , the software company behind the EOS blockchain, will expand its U.S. footprint with a new headquarters in Arlington County, Va. Report by @DanielGKuhn https://www.coindesk.com/eos-maker-block-one-expands-us-footprint-with-dc-area-hq … @block_one_",,@DanielGKuhn @block_one_,,1176935935868624897,https://twitter.com/CoinDesk/status/1176935935868624897
2019-09-19 08:05:35,CoinDesk,,78,192,481,"IN DEPTH: Early supporters of $EOS, the world's seventh-largest blockchain by market cap, are leaving. Here's why. @BradyDale reportshttp://ow.ly/ETS550wfSQ6",,@BradyDale,,1174595378030813184,https://twitter.com/CoinDesk/status/1174595378030813184
2019-09-17 04:06:43,CoinDesk,,1,15,37,"LiquidApps, an EOS scaling project, imitated BlockOne's record-setting ICO strategy but has been met with far less investor interest. Report by @BradyDalehttps://www.coindesk.com/the-first-yearlong-ico-for-eos-raised-4-billion-the-second-just-2-8-million …",,@BradyDalehttps,,1173810487479459847,https://twitter.com/CoinDesk/status/1173810487479459847
2019-09-09 15:33:21,CoinDesk,,1,24,58,"Silicon Valley investor @TimDraper has joined the board of MakeSense Labs, provider of a messaging app built on the EOS blockchain. Report by @DanielGKuhnhttp://ow.ly/6w7d50w2RMb",,@TimDraper @DanielGKuhnhttp,,1171084182845476865,https://twitter.com/CoinDesk/status/1171084182845476865
2019-08-25 12:10:25,CoinDesk,,18,67,155,"#BurningMan discussed but never issued a crypto token. Still, from $ETH to $EOS, leaders of the movement continue to flock to the famous US festival. Report via @La__Cuenhttp://ow.ly/WrTG50vIENE",,@La__Cuenhttp,#BurningMan,1165597295632637952,https://twitter.com/CoinDesk/status/1165597295632637952
2019-06-13 12:04:41,CoinDesk,,2,26,79,"JUST IN: @UplandMe a ""Monopoly""-like property game built on the EOS blockchain, has raised $2 million in seed funding, reports@DanielGKuhn. http://ow.ly/DMOw50uD71L",,@UplandMe @DanielGKuhn,,1139141539119214593,https://twitter.com/CoinDesk/status/1139141539119214593
2019-06-10 17:26:23,CoinDesk,,12,63,210,"JUST IN: Fresh on the heels of the addition of $EOS, @coinbase is adding ethereum stablecoin $DAI to its Earn program. http://ow.ly/qlCE50uAGyM @zackseward reports",,@coinbase @zackseward,,1138135330941538306,https://twitter.com/CoinDesk/status/1138135330941538306
2019-06-02 02:08:35,CoinDesk,,75,188,610,"JUST IN: @coinbase users can now get up to $10 in $EOS by learning about the cryptocurrency through the exchange's Earn program. http://ow.ly/wRiZ50uuzf3 @BradyDale reports",,@coinbase @BradyDale,,1135005256834830336,https://twitter.com/CoinDesk/status/1135005256834830336
2019-05-31 12:02:33,CoinDesk,,9,42,145,". @coinbase has added support for the EOS cryptocurrency for customers on Coinbase[dot]com and its Android and iOS apps. http://ow.ly/g7c450utCrS",,@coinbase,,1134429956681949186,https://twitter.com/CoinDesk/status/1134429956681949186
2019-05-22 03:36:51,CoinDesk,,40,110,268,"Galaxy Digital, the crypto bank founded by Michael @novogratz, has sold a majority of its position in @block_one_, the developer of the EOS blockchain, for $71 million. http://ow.ly/VTcd50ulXLt",,@novogratz @block_one_,,1131041205649891328,https://twitter.com/CoinDesk/status/1131041205649891328
2019-05-17 16:10:33,CoinDesk,,19,58,124,". @bitfinex says it will list its LEO exchange token on Monday, trading against bitcoin, ether, EOS, tether and the U.S. dollar. https://www.coindesk.com/bitfinex-will-list-its-new-exchange-token-starting-monday …",,@bitfinex,,1129418941468741633,https://twitter.com/CoinDesk/status/1129418941468741633
2019-05-15 14:00:48,CoinDesk,,7,12,26,"JUST IN: New funding for @infstones, a node operator currently staking over $450 million worth of $EOS, will fuel hiring and an expansion into more PoS networks. http://ow.ly/Ytug50udbfk @WolfieZhao reports",,@infstones @WolfieZhao,,1128661512967602176,https://twitter.com/CoinDesk/status/1128661512967602176
2019-04-10 19:03:48,CoinDesk,,3,51,128,"JUST IN: @Moonlighting, a platform for freelancers founded in 2014, is getting funding from @block_one_'s venture arm to bring its 700,000 users to the $EOS blockchain. http://ow.ly/6wlB50pM5Bo @BradyDale reports",,@Moonlighting @block_one_ @BradyDale,,1116054188851642371,https://twitter.com/CoinDesk/status/1116054188851642371
2019-04-08 20:42:27,CoinDesk,,35,72,191,"Coinbase will make $EOS, $MKR and $REP fully available for trading on its professional platform sometime Tuesday. http://ow.ly/HzKm50pzbxj @baidakova writes",,@baidakova,,1115354237020659713,https://twitter.com/CoinDesk/status/1115354237020659713
2019-03-30 10:46:11,CoinDesk,,34,155,296,"South Korean crypto exchange @BithumbOfficial has had over $13 million in EOS stolen in a hack, but says customer funds are safe. http://ow.ly/cr8G30ofTZB",,@BithumbOfficial,,1111942690931965952,https://twitter.com/CoinDesk/status/1111942690931965952
2019-03-07 13:03:12,CoinDesk,,0,15,28,"Private blockchain studio StrongBlock – founded by former execs from @block_one_, the company behind EOS – has raised $4 million in seed funding. http://ow.ly/shbt30nXjk9",,@block_one_,,1103642254038781952,https://twitter.com/CoinDesk/status/1103642254038781952
2018-11-09 14:11:53,CoinDesk,,4,54,109,"JUST IN: The interoperable dollar-pegged crypto token CarbonUSD has just launched as the first stablecoin on the EOS platform. http://ow.ly/5dMN30myItE",,,,1060897771002093569,https://twitter.com/CoinDesk/status/1060897771002093569
2018-10-14 22:05:07,CoinDesk,,3,20,34,"FEATURE: Distributed though it may be, the EOS community has fought hard to remain united. http://ow.ly/rtb030mdh7L",,,,1051594778142478341,https://twitter.com/CoinDesk/status/1051594778142478341
2018-10-12 04:10:08,CoinDesk,,9,20,43,"English or Mandarin? Telegram or WeChat? EOS is finding governance isn't just about code. http://ow.ly/v5Ko30mcyHL",,,,1050599475192815616,https://twitter.com/CoinDesk/status/1050599475192815616
