date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-24 00:04:12,CoinDesk,,3,11,22,". @TheGivingBlock’s charity drive will give donations to nonprofit partners including @SavetheChildren @nokidhungry @Us4Warriors. #cryptoCOVID19 is taking donations in bitcoin, litecoin, zcash and other tokens. #CoronaEfforts @AlexWilsonTGBhttps://www.thegivingblock.com/post/cryptocovid19-cryptocurrency-community-unites-to-squash-the-coronavirus …",,@TheGivingBlock @SavetheChildren @nokidhungry @Us4Warriors @AlexWilsonTGBhttps,#cryptoCOVID19 #CoronaEfforts,1242240762496106496,https://twitter.com/CoinDesk/status/1242240762496106496
2020-01-08 14:00:47,CoinDesk,,5,23,77,"JUST IN: BlockFi users can now earn interest on, trade and receive loans backed by USD Coin and litecoin. Report via @Nate_DiCamillo http://ow.ly/lVXR50xQ6BD @TheRealBlockFi",,@Nate_DiCamillo @TheRealBlockFi,,1214909817535520769,https://twitter.com/CoinDesk/status/1214909817535520769
2019-12-04 17:11:07,CoinDesk,,0,5,15,"NEW EPISODE: #MarketsDaily w/ @GamerAndy + @liqquidity. A daily dive into news and trends impacting todays markets. Today’s Topics: 1. Is Bitcoin getting boring? 2. Market Manipulation Post-Mortem w/ @galenmoore 3. Litecoin's falling hashrate http://ow.ly/opSG50xrQNa",,@GamerAndy @liqquidity @galenmoore,#MarketsDaily,1202274142147489792,https://twitter.com/CoinDesk/status/1202274142147489792
2019-12-04 16:48:28,CoinDesk,,5,28,40,"Litecoin’s price plunge in recent months has whittled away the profitability of mining the cryptocurrency, leading to a shakeout among operators. $LTC Report by @godbole17 and @Liqquidityhttp://ow.ly/POIA50xrP1s",,@godbole17 @Liqquidityhttp,,1202268442151325698,https://twitter.com/CoinDesk/status/1202268442151325698
2019-10-09 22:25:45,CoinDesk,,16,3,17,"Who was more influential in 2019: Facebook’s @davidmarcus or Litecoin’s @SatoshiLite? Vote for the heroes and villains of blockchain here: https://surveymonkey.com/r/CWLFF9F #cryptoinfluencerspic.twitter.com/pFSipde5lC",,@davidmarcus @SatoshiLite,#cryptoinfluencerspic,1182059602189393920,https://twitter.com/CoinDesk/status/1182059602189393920
2019-09-25 16:22:24,CoinDesk,,6,28,77,"The millennial-focused SoFi will offer trading in bitcoin, ethereum and litecoin next Tuesday and source its liquidity from Coinbase. Report by @DanielGKuhn http://ow.ly/kTFJ50wqQnG @SoFi @coinbase",,@DanielGKuhn @SoFi @coinbase,,1176894730971561984,https://twitter.com/CoinDesk/status/1176894730971561984
2019-09-18 17:14:13,CoinDesk,,8,44,108,"The Celsius Network will manage an undisclosed amount of the Litecoin Foundation's treasury through a mutual partnership. Report via @wsfoxley @LTCFoundation @CelsiusNetworkhttps://www.coindesk.com/litecoin-foundation-to-hold-undisclosed-treasury-sum-with-crypto-lender …",,@wsfoxley @LTCFoundation @CelsiusNetworkhttps,,1174371058335404032,https://twitter.com/CoinDesk/status/1174371058335404032
2019-08-28 07:34:10,CoinDesk,,31,112,377,"Litecoin creator Charlie Lee @SatoshiLite said he remains committed to funding the @LTCFoundation regardless of its financial standing, via @wsfoxleyhttp://ow.ly/cWy250vLZZf",,@SatoshiLite @LTCFoundation @wsfoxleyhttp,,1166614937978003458,https://twitter.com/CoinDesk/status/1166614937978003458
2019-08-23 10:32:11,CoinDesk,,2,17,45,"Mining power on the litecoin network has dropped by 28 percent since its recent ""halving"" event as miners struggle for profit. Report by @WolfieZhao http://ow.ly/EnUN50vGDHz $LTC",,@WolfieZhao,,1164847797557846016,https://twitter.com/CoinDesk/status/1164847797557846016
2019-08-21 17:54:09,CoinDesk,,30,128,232,"BREAKING: @USTreasury's OFAC has put bitcoin and litecoin addresses of three Chinese nationals on its sanctions list, the second time the agency has blacklisted crypto wallets. http://ow.ly/TDiu50vELdu Report by @nikhileshde",,@USTreasury @nikhileshde,,1164234248297046016,https://twitter.com/CoinDesk/status/1164234248297046016
2019-08-05 10:21:29,CoinDesk,,41,410,1148,"JUST IN: Litecoin, the fifth-largest cryptocurrency by market value, has just halved the block reward for miners. Report by @WolfieZhao http://ow.ly/lIAu50vnHx2 $LTC @SatoshiLite",,@WolfieZhao @SatoshiLite,,1158322124639129600,https://twitter.com/CoinDesk/status/1158322124639129600
2019-06-14 22:35:05,CoinDesk,,27,147,320,"New payment card from Crypterium offers zero fees for bitcoin, ethereum, and litecoin transactions. http://ow.ly/hBpC50uEtsO via @danielgkuhn",,@danielgkuhn,,1139662569730433024,https://twitter.com/CoinDesk/status/1139662569730433024
2019-06-10 18:07:14,CoinDesk,,19,105,305,"The price of litecoin surged another 10 percent today, pushing its price above $125 to record its highest value since May 23, 2018. http://ow.ly/YMnq50uAIYf reports @godbole17",,@godbole17,,1138145611532963840,https://twitter.com/CoinDesk/status/1138145611532963840
2019-05-13 12:45:01,CoinDesk,,20,333,807,"Germany’s second-largest stock exchange, Boerse Stuttgart, now offers trading in XRP and litecoin-based ETNs issued by XBT Provider. http://ow.ly/Qlr150u9sjN",,,,1127917663420915712,https://twitter.com/CoinDesk/status/1127917663420915712
2019-05-07 10:02:06,CoinDesk,,6,34,92,"JUST IN: Crypto mining and exchange startup @bcausellc is weeks away from launching a spot trading market for bitcoin, ether, bitcoin cash and litecoin. Report by @baidakovahttp://ow.ly/sibu50u1CJO",,@bcausellc @baidakovahttp,,1125702337769635840,https://twitter.com/CoinDesk/status/1125702337769635840
2019-04-24 11:03:32,CoinDesk,,5,24,50,"Bitcoin could be in for a price pullback, as litecoin, which led the crypto markets higher earlier in the year, is now showing signs of weakness. Report by @godbole17http://ow.ly/PRgx50rqsxw",,@godbole17http,,1121006753741770752,https://twitter.com/CoinDesk/status/1121006753741770752
2019-04-08 13:01:50,CoinDesk,,21,158,502,"JUST IN: Pantera-backed @sparkswap has launched to offer pro traders litecoin-to-bitcoin atomic swaps using the lightning network. Article by @La__Cuenhttp://ow.ly/BljI50pwkrU",,@sparkswap @La__Cuenhttp,,1115238322413154304,https://twitter.com/CoinDesk/status/1115238322413154304
2019-04-04 06:57:56,CoinDesk,,15,237,569,"JUST IN: Exchange-traded products (ETPs) tied to XRP and litecoin have gone live on Nordic Growth Market @ngmexchange, a unit of Börse Stuttgart @boersestuttgart.http://ow.ly/ApHr30ojTim",,@ngmexchange @boersestuttgart,,1113697190608871424,https://twitter.com/CoinDesk/status/1113697190608871424
2019-04-01 09:01:35,CoinDesk,,14,81,239,"JUST IN: @krakenfx's Crypto Facilities has seen trading volumes in litecoin and bitcoin cash futures surge five-fold in recent weeks. http://ow.ly/emZx30ogPOI",,@krakenfx,,1112641143660048384,https://twitter.com/CoinDesk/status/1112641143660048384
2019-03-31 13:05:09,CoinDesk,,57,378,1212,"Litecoin's price doubled in the first three months of 2019 to register its best first-quarter performance on record. http://ow.ly/BNa930ognnd",,,,1112340052867194880,https://twitter.com/CoinDesk/status/1112340052867194880
2019-03-15 21:16:24,CoinDesk,,2,5,9,"LIVE on #CryptoController: Our @twitch follower asks @samadamsSAO and @JayCoDon, ""Is Litecoin About to Go Ballistic?"" https://clips.twitch.tv/SavoryAbstemiousClamFailFish?tt_medium=twtr …",,@twitch @samadamsSAO @JayCoDon,#CryptoController,1106665475252150272,https://twitter.com/CoinDesk/status/1106665475252150272
2019-02-12 20:48:41,CoinDesk,,6,101,184,"Litecoin's block reward halving is estimated to occur in August – and an analysis of market data suggests that traders are already pricing in the event. http://ow.ly/j1Au30nG4GI",,,,1095424473430478849,https://twitter.com/CoinDesk/status/1095424473430478849
2019-01-30 17:07:06,CoinDesk,,1,1,1,"7/19 Diversifying with litecoin? In 2014, @geoburke put down a $12,000 deposit in #bitcoin for the first ASIC miner for #litecoin. A miner (that as some of you know) never appeared. http://ow.ly/gkDD30nvXpn #BitcoinRegret",,@geoburke,#bitcoin #litecoin #BitcoinRegret,1090657668128231424,https://twitter.com/CoinDesk/status/1090657668128231424
2018-12-29 16:55:07,CoinDesk,,21,182,492,"The Litecoin Foundation has partnered with the @ufc in a deal to promote the cryptocurrency.http://ow.ly/Hm8P30n7TLJ",,@ufc,,1079058243534667776,https://twitter.com/CoinDesk/status/1079058243534667776
2018-12-27 12:02:18,CoinDesk,,71,400,1416,"The litecoin logo is to take prime place in the Octagon at an Ultimate Fighting Championship event this Saturday. http://ow.ly/aUjb30n71ZK",,,,1078259776096735232,https://twitter.com/CoinDesk/status/1078259776096735232
