date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-06 08:02:30,CoinDesk,,3,36,102,"Crypto ATM startup CoinFlip has added Stellar Lumens (XLM) to its network of 450 machines. @realDannyNelson reports http://ow.ly/aPwT50yeYMn @CoinFlipATM",,@realDannyNelson @CoinFlipATM,,1225328901125218304,https://twitter.com/CoinDesk/status/1225328901125218304
2019-11-14 13:04:39,CoinDesk,,14,127,361,". @coinbase has added new crypto options to its Visa debit card, including XRP, XLM and REP, and also expanded availability to 10 more nations. http://ow.ly/rCMN50xaMVr",,@coinbase,,1194964360147419137,https://twitter.com/CoinDesk/status/1194964360147419137
2019-11-05 00:30:32,CoinDesk,,65,160,388,"FULL STORY: XLM's price surged 14% after @StellarOrg announced it had burned more than half of the cryptocurrency's supply. CEO @DenelleDixon says the foundation didn't need all the tokens it was sitting on. http://ow.ly/Tqg550x1Wbg @BradyDale reports from Mexico City.",,@StellarOrg @DenelleDixon @BradyDale,,1191513087892963328,https://twitter.com/CoinDesk/status/1191513087892963328
2019-09-26 10:31:37,CoinDesk,,17,74,233,"Cryptocurrency exchange @Coinbase has announced that New York residents now have access Stellar lumens and chainlink – cryptocurrencies launched for other jurisdictions months ago. $LINK $XLM http://ow.ly/D4P250wrW6F",,@Coinbase,,1177168844772786176,https://twitter.com/CoinDesk/status/1177168844772786176
2019-09-09 16:00:33,CoinDesk,,31,48,128,"JUST IN: @StellarDevFound plans to airdrop 2 billion XLM (worth roughly $120 million) to users of @KeybaseIO in the largest such giveaway in the cryptocurrency's five-year history. @wsfoxley reportshttp://ow.ly/8WEw50w2TOS",,@StellarDevFound @KeybaseIO @wsfoxley,,1171091026313977856,https://twitter.com/CoinDesk/status/1171091026313977856
2019-05-28 13:41:50,CoinDesk,,54,136,291,"BREAKING – @jesselund, the @IBM blockchain lead who spearheaded the company's groundbreaking work with crypto assets and its $XLM WorldWire integration, has left the company http://ow.ly/6iqG50uqXvy via @IanAllison123",,@jesselund @IBM @IanAllison123,,1133367780860944385,https://twitter.com/CoinDesk/status/1133367780860944385
2019-01-02 17:45:00,CoinDesk,,5,21,46,"What do you like about #cryptocurrency? We ask, @stellarorg's creator answers: http://ow.ly/H3VQ30na598 #XLM #cryptoinfluencerspic.twitter.com/DR1Q4DhAQs",,@stellarorg,#cryptocurrency #XLM #cryptoinfluencerspic,1080520346317381633,https://twitter.com/CoinDesk/status/1080520346317381633
2018-12-31 18:16:05,CoinDesk,,4,8,15,"3/ @neondistrictRPG's #plasmabears aren't live yet... But you can own a preview of the upcoming game with this special edition trading card in honor of @StellarOrg's @JedMcCaleb. Here's he's surfing on the #XLM logo BUY: http://ow.ly/68az30n9aUC READ: http://ow.ly/jNGl30n9aUV pic.twitter.com/z4zTnPuQHo",,@neondistrictRPG @StellarOrg @JedMcCaleb,#plasmabears #XLM,1079803394343219201,https://twitter.com/CoinDesk/status/1079803394343219201
2018-11-06 14:01:04,CoinDesk,,24,170,390,"JUST IN: Crypto wallet provider Blockchain says it will distribute $125 million in Stellar XLM to users, with some receiving tokens within the week. http://ow.ly/bF5c30mw36b",,,,1059807882349371392,https://twitter.com/CoinDesk/status/1059807882349371392
2018-10-12 22:20:10,CoinDesk,,38,28,63,"#ETH or #XLM? CoinDesk is on the lookout for 2018's top #CryptoInfluencer... but is it the inventor of the pioneering @ethereumproject, @vitalikbuterin? Or resurgent @StellarOrg creator @JedMcCaleb? VOTE: http://ow.ly/f43R30mdktQ pic.twitter.com/9V4Nvbi9zz",,@ethereumproject @vitalikbuterin @StellarOrg @JedMcCaleb,#ETH #XLM #CryptoInfluencer,1050873791633653761,https://twitter.com/CoinDesk/status/1050873791633653761
2018-04-20 15:51:07,CoinDesk,,11,51,120,"Stellar Run: XLM, IOTA, ADA Spike in Good Week for Altcoins http://bit.ly/2HeTofF pic.twitter.com/yt2GiMKbXd",,,,987358005783158785,https://twitter.com/CoinDesk/status/987358005783158785
2018-01-24 14:28:24,CoinDesk,,20,95,195,"Stellar Run Ahead? XLM Flirts With Price Breakout http://bit.ly/2FaYGTX pic.twitter.com/rHjNl0xs1G",,,,956171834998820865,https://twitter.com/CoinDesk/status/956171834998820865
