date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-26 13:26:12,CoinDesk,,0,10,10,"An investigation from CoinDesk Korea found that a 25-year-old South Korean man alleged to have run chatrooms selling abusive sexual materials primarily used the privacy-enhancing cryptocurrency monero. Via @paddybaker_https://www.coindesk.com/alleged-mastermind-of-sex-abuse-chatrooms-hid-payments-with-privacy-coin-monero …",,@paddybaker_https,,1243167371059179520,https://twitter.com/CoinDesk/status/1243167371059179520
2020-02-12 14:27:23,CoinDesk,,10,47,119,"IP traffic suggests North Korea is stepping up its efforts to mine the privacy coin #monero, according to a report from cybersecurity firm @RecordedFuture. Via @paddybaker_https://www.coindesk.com/north-korea-is-expanding-its-monero-mining-operations-says-report …",,@RecordedFuture @paddybaker_https,#monero,1227600088442298368,https://twitter.com/CoinDesk/status/1227600088442298368
2020-02-11 19:31:32,CoinDesk,,1,12,34,"Outlaw, a group specializing in cryptojacking machines to mine monero, has returned after a brief hiatus and is expanding its global reach, according to Trend Micro. @paddybaker_ @TrendMicrohttp://ow.ly/8IKU50yjKqv",,@paddybaker_ @TrendMicrohttp,,1227314242526814211,https://twitter.com/CoinDesk/status/1227314242526814211
2020-01-23 19:55:36,CoinDesk,,5,26,60,"Companies are mainstreaming privacy, says Riccardo Spagni, better known as “Fluffypony."" The Monero community leader speaks with CoinDesk’s Leigh Cuen from the WEF in Davos. @johnbiggs @La__Cuen @fluffyponyhttps://www.coindesk.com/fluffypony-weighs-in-on-cbdc-trend-at-davos-2020 …",,@johnbiggs @La__Cuen @fluffyponyhttps,,1220434928502034437,https://twitter.com/CoinDesk/status/1220434928502034437
2020-01-09 14:00:27,CoinDesk,,0,7,13,"A new technical analysis from AT&T Alien Labs offers an inside look at how a pernicious form of monero mining malware infiltrates email networks. Report by @realDannyNelson http://ow.ly/TzGY50xR8hO @attcyber",,@realDannyNelson @attcyber,,1215272124941774848,https://twitter.com/CoinDesk/status/1215272124941774848
2019-12-18 16:06:43,CoinDesk,,8,8,28,"Riccardo Spagni, better known as ""Fluffypony,"" will relinquish his day-to-day leadership role in the monero privacy coin project. @paddybaker_ @fluffypony @monero http://ow.ly/mNJ850xDiGv",,@paddybaker_ @fluffypony @monero,,1207331366519660545,https://twitter.com/CoinDesk/status/1207331366519660545
2019-11-26 12:23:38,CoinDesk,,12,25,60,". @BitBay exchange is the latest to be delisting the privacy-focused monero cryptocurrency over AML concerns. http://ow.ly/aATz50xkRbL",,@BitBay,,1199302693220683776,https://twitter.com/CoinDesk/status/1199302693220683776
2019-10-10 12:22:57,CoinDesk,,14,34,101,"LATEST: @OKEx Korea is reviewing a decision to delist the privacy coins zcash and dash it announced in September. Monero, horizen and super bitcoin are still being dropped, however. http://ow.ly/M4xD50wHvrL",,@OKEx,,1182270292409901057,https://twitter.com/CoinDesk/status/1182270292409901057
2019-09-16 10:02:54,CoinDesk,,13,49,111,"OKEX Korea has dropped support for privacy-enhancing cryptocurrencies including monero, zcash and dash. http://ow.ly/BcO950wbbXK",,,,1173537735891726337,https://twitter.com/CoinDesk/status/1173537735891726337
2019-08-22 00:31:10,CoinDesk,,89,60,163,"The White House advisories state ""convertible virtual currencies,"" particularly $BTC, $BCH, $ETH, and monero, are actively being used on dark net markets. http://ow.ly/tvZg50vF4WT via @wsfoxley",,@wsfoxley,,1164334157880811521,https://twitter.com/CoinDesk/status/1164334157880811521
