date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-04 18:55:04,CoinDesk,,3,24,59,"ICYMI: One claim for relief in the Ripple lawsuit asserts false advertising. It appears to see the plaintiffs hedging their original case, stating this claim is made ""under the alternative theory that XRP is not a security."" https://www.coindesk.com/amended-lawsuit-against-ripple-now-offers-theory-that-xrp-may-not-be-a-security …",,,,1246511622841151489,https://twitter.com/CoinDesk/status/1246511622841151489
2020-04-02 16:21:40,CoinDesk,,8,97,224,". @Ripple engineer Nik Bougalis has proposed a method of shielding transactions on the XRP ledger. @paddybaker_ reportshttps://www.coindesk.com/ripple-engineers-publish-design-for-private-transactions-on-xrp-ledger …",,@Ripple @paddybaker_,,1245748241360183298,https://twitter.com/CoinDesk/status/1245748241360183298
2020-04-01 09:40:28,CoinDesk,Crypto_Puppy_,1,0,9,"The full court filing is provided in the article. You can read it and draw your own conclusions.",,,,1245284888204513281,https://twitter.com/CoinDesk/status/1245284888204513281
2020-04-01 09:31:31,CoinDesk,,32,74,190,"While the ongoing California lawsuit against @Ripple still alleges the firm broke securities laws with its sales of XRP, the plaintiffs now seem to be hedging their bets. @Sebsinclair1989 reports https://www.coindesk.com/amended-lawsuit-against-ripple-now-offers-theory-that-xrp-may-not-be-a-security …",,@Ripple @Sebsinclair1989,,1245282638052691968,https://twitter.com/CoinDesk/status/1245282638052691968
2020-03-27 15:30:34,CoinDesk,,4,72,154,"Coinbase, BitGo, Ripple and a bunch of other cryptocurrency firms have been exempted from holding a payments license in Singapore till this summer. Via @Sebsinclair1989https://www.coindesk.com/singapore-temporarily-exempts-crypto-firms-including-coinbase-from-new-licensing-regime …",,@Sebsinclair1989https,,1243561055483310080,https://twitter.com/CoinDesk/status/1243561055483310080
2020-03-19 12:02:45,CoinDesk,,6,71,179,"A Bangkok-based remittance platform has become the first non-banking institution in Thailand to use @Ripple's blockchain tech to process international payments. Via @paddybaker_http://ow.ly/wOTN50yPOjq",,@Ripple @paddybaker_http,,1240609654306201601,https://twitter.com/CoinDesk/status/1240609654306201601
2020-02-28 14:00:34,CoinDesk,,37,240,631,". @Ripple is developing a feature that could allow users to mint asset-backed tokens directly on top of XRP Ledger, Ripple's tech chief @JoelKatz says. Via @paddybaker_http://ow.ly/fKxd50yyv4A",,@Ripple @JoelKatz @paddybaker_http,,1233391546617257984,https://twitter.com/CoinDesk/status/1233391546617257984
2020-02-27 09:03:55,CoinDesk,,2,39,119,"European money transfer service @Azimo is tapping tech from blockchain firm @Ripple and the $XRP cryptocurrency for its remittance corridor to the Philippines. Via @Sebsinclair1989http://ow.ly/6WUV50yxerB",,@Azimo @Ripple @Sebsinclair1989http,,1232954502585765888,https://twitter.com/CoinDesk/status/1232954502585765888
2020-02-26 22:34:07,CoinDesk,,34,148,340,"JUST IN: A lawsuit claiming @Ripple violated U.S. securities laws will be allowed to move forward – though with a caveat favorable to the San Francisco-based payments firm. http://ow.ly/GOKA50ywYPo @nikhileshde reports",,@Ripple @nikhileshde,,1232796008901464067,https://twitter.com/CoinDesk/status/1232796008901464067
2020-02-25 21:41:27,CoinDesk,,34,70,198,"Payments firm @Ripple has given @MoneyGram over $11 million dollars in the past half year on top of its existing stake, according to regulatory filings with the Securities and Exchange Commission. https://www.coindesk.com/moneygram-got-another-11m-from-ripple-to-use-its-cross-border-payments-tech … @realDannyNelson reports",,@Ripple @MoneyGram @realDannyNelson,,1232420366406049793,https://twitter.com/CoinDesk/status/1232420366406049793
2020-02-13 18:36:31,CoinDesk,,39,32,91,"XRP, the native asset of San Francisco-based Ripple’s XRP Ledger, saw a flash crash on Hong Kong-based derivatives exchange BitMEX on Thursday. @danielcawrey @BitMEXdotcomhttp://ow.ly/zxSS50ylNzw",,@danielcawrey @BitMEXdotcomhttp,,1228025171199610880,https://twitter.com/CoinDesk/status/1228025171199610880
2020-02-13 04:32:09,CoinDesk,,6,103,218,"Mastercard, the innovation arms of Ripple and Binance and eight other firms joined a group supporting blockchain education in universities worldwide. http://ow.ly/GVRP50yl8Xf",,,,1227812682780282880,https://twitter.com/CoinDesk/status/1227812682780282880
2020-02-09 14:35:04,CoinDesk,,81,52,190,"ICYMI: @Ripple backer @novogratz told an audience of registered investment advisors that he expects $XRP to ""underperform immensely"" this year – at least in part due to Ripple's ownership of billions of the tokens. http://ow.ly/9YyH50yh072 Report by @lvlewitinn",,@Ripple @novogratz @lvlewitinn,,1226514859707289600,https://twitter.com/CoinDesk/status/1226514859707289600
2020-02-05 11:38:11,CoinDesk,,17,123,381,". @Ripple's technology will form the basis for a new XRP-based remittance service from International Money Express (Intermex). @paddybaker_ reports http://ow.ly/GpxL50ye3AH @IntermexWire",,@Ripple @paddybaker_ @IntermexWire,,1225020791445762051,https://twitter.com/CoinDesk/status/1225020791445762051
