,Date,close,volumefrom,volumeto,OBV,30day_volatility,7Day_Volatility
0,2010-08-14,0.06529,4462.87,294.95,-82.54,0.008721608124415017,31.86
1,2010-08-15,0.0655,10731.47,696.8,10648.93,0.008283789799860681,32.19
2,2010-08-16,0.07,13185.74,915.0,23834.67,0.0073278720390499204,35.91
3,2010-08-17,0.068,2953.98,203.83,20880.69,0.006657648483761614,34.8
4,2010-08-18,0.0667,741.12,50.04,20139.57,0.006347007702973833,25.64
5,2010-08-19,0.0655,4199.75,276.41,15939.82,0.00561311968905689,23.86
6,2010-08-20,0.0664,10443.86,688.51,26383.68,0.005137996613019736,23.04
7,2010-08-21,0.066,18648.97,1183.64,7734.71,0.005157927677956959,23.16
8,2010-08-22,0.06491,4297.49,281.88,3437.22,0.004877586375511427,9.745
9,2010-08-23,0.065,6711.76,444.66,10148.98,0.004179415690888068,8.67
10,2010-08-24,0.0648,4228.88,278.86,5920.1,0.0038733066006951377,7.81
11,2010-08-25,0.064,3870.01,251.56,2050.09,0.003776846963871553,7.077000000000001
12,2010-08-26,0.065,9009.97,583.71,11060.06,0.0036121153893815356,7.483
13,2010-08-27,0.0641,6174.01,399.45,4886.05,0.003490946994662086,7.996
14,2010-08-28,0.064,3173.4,204.88,1712.65,0.0034726217364029087,7.037000000000001
15,2010-08-29,0.06497,34193.14,2135.0,35905.79,0.003424732911810993,8.479
16,2010-08-30,0.06,14886.91,933.23,21018.88,0.0034701810380413345,23.14
17,2010-08-31,0.0629,7164.72,436.73,28183.6,0.0033749108289624933,28.24
18,2010-09-01,0.0634,8150.73,498.98,36334.33,0.00326488177251578,27.88
19,2010-09-02,0.06085,892.0,54.61,35442.33,0.003010530865471082,29.61
20,2010-09-03,0.06238,3301.0,202.27,38743.33,0.0029573675775097334,30.98
21,2010-09-04,0.0616,8459.24,527.97,30284.09,0.0029824409504613076,30.37
22,2010-09-05,0.0616,910.0,56.13,30284.09,0.0028355319393916886,20.07
23,2010-09-06,0.061,3457.19,212.35,26826.9,0.002830466433272987,14.63
24,2010-09-07,0.062,2345.41,143.36,29172.31,0.0026566420772164267,15.42
25,2010-09-09,0.0618,4939.79,301.8,32378.6,0.002554029248520629,8.54
26,2010-09-10,0.06366000000000001,7749.14,491.19,40127.74,0.002321580441666069,11.01
27,2010-09-11,0.0615,793.88,48.99,39333.86,0.002369317788227061,15.5
28,2010-09-14,0.0604,3651.85,223.27,31743.54,0.002386715243838774,16.1
29,2010-09-15,0.0619,730.0,45.17,32473.54,0.0020745525483491655,17.4
30,2010-09-17,0.061,7092.61,427.76,32304.15,0.0019332220736911793,20.45
31,2010-09-18,0.0627,12852.17,797.36,45156.32,0.001866408561794591,21.75
32,2010-09-19,0.0621,14307.94,891.19,30848.38,0.0017360989430990979,21.94
33,2010-09-20,0.06265,5735.95,359.82,36584.33,0.0016129251288464334,20.25
34,2010-09-21,0.0622,11560.4,717.33,25023.93,0.0015468863795587194,19.53
35,2010-09-23,0.0622,684.38,42.66,39844.88,0.0013885943028584498,8.945
36,2010-09-25,0.062,12058.13,748.2,25634.25,0.0012352951622713255,3.5380000000000003
37,2010-09-26,0.0622,10752.25,668.53,36386.5,0.001173796326494447,2.439
38,2010-09-27,0.0619,7086.15,439.05,29300.35,0.001110565818302325,1.969
39,2010-09-28,0.06191,23475.64,1450.79,52775.99,0.0009493834054662085,1.829
40,2010-09-29,0.0619,7917.03,488.15,44858.96,0.0008852950024591885,1.827
41,2010-10-01,0.0614,13059.74,802.52,33516.67,0.0008163067938030996,3.017
42,2010-10-03,0.0613,33995.37,2079.89,60339.41,0.0008042670683555798,2.991
43,2010-10-04,0.0614,27526.61,1699.2,87866.02,0.0008064136584319777,3.092
44,2010-10-05,0.06281,33433.3,2091.28,121299.32,0.0008287409783492687,7.229
45,2010-10-06,0.067,43692.98,2812.79,164992.3,0.0012493520619555377,18.15
46,2010-10-07,0.08685,139287.29,10784.23,304279.59,0.004708088857451089,67.23
47,2010-10-08,0.0938,187846.95,16104.87,492126.54,0.007344464339676622,64.15
48,2010-10-09,0.0965,50684.19,4889.35,542810.73,0.00943601672366022,62.14
49,2010-10-10,0.095,14092.91,1395.23,528717.82,0.010897123046458417,64.08
50,2010-10-11,0.0949,25660.75,2396.82,503057.07,0.01205490098740309,65.98
51,2010-10-12,0.105,47557.27,4558.52,550614.34,0.013840479843518817,66.51
52,2010-10-13,0.102,37217.28,3701.65,513397.06,0.0150515526407262,34.55
53,2010-10-14,0.105,24643.33,2554.91,538040.39,0.016229132316520397,30.69
54,2010-10-16,0.102,18222.19,1857.8,549977.87,0.01758807995310409,33.19
55,2010-10-17,0.1024,25665.09,2591.64,575642.96,0.018132068501991713,33.05
56,2010-10-19,0.099,31855.0,3221.08,601262.86,0.01859226288528115,22.19
57,2010-10-20,0.107,44867.0,4616.85,646129.86,0.01908968246335504,30.85
58,2010-10-21,0.1025,34603.91,3665.43,611525.95,0.019252223684073744,31.35
59,2010-10-22,0.1055,4423.47,481.52,615949.42,0.01943744277738558,32.15
60,2010-10-23,0.115,13800.23,1560.61,629749.65,0.019946062501414803,38.73
61,2010-10-24,0.132,30299.64,4450.0,660049.29,0.02133323101178769,41.44
62,2010-10-25,0.1503,19219.13,2995.09,679268.42,0.023810783524885668,44.67
63,2010-10-26,0.1877,65605.87,11594.02,744874.29,0.02928815555386047,60.92
64,2010-10-27,0.1731,21525.04,4009.67,723349.25,0.03206417000759358,68.7
65,2010-10-28,0.19,28686.85,5380.49,752036.1,0.035549316471757894,66.07
66,2010-10-29,0.1989,26708.94,5112.03,778745.04,0.03893638097818239,67.58
67,2010-10-30,0.1925,40337.76,7829.46,738407.28,0.04108265735985355,72.76
68,2010-10-31,0.1955,21258.61,4049.75,759665.89,0.042833071551147836,70.07
69,2010-11-01,0.1938,5853.39,1121.34,753812.5,0.04393426333412963,40.15
70,2010-11-02,0.1931,61472.63,11769.61,692339.87,0.04452796337470257,29.74
71,2010-11-03,0.23,29698.43,6229.16,722038.3,0.046976788012315474,49.32
72,2010-11-04,0.26,36622.07,8757.15,758660.37,0.05098592382374692,55.19
73,2010-11-05,0.39,32756.13,9396.96,791416.5,0.0674118577558278,105.16
74,2010-11-06,0.34,77218.72,27937.74,714197.78,0.07508494078930435,124.34
75,2010-11-07,0.243,118203.83,38339.26,595993.95,0.07582790565393506,170.15
76,2010-11-08,0.21,47983.39,12808.3,548010.56,0.07538107296211397,177.32
77,2010-11-09,0.24,30387.03,6110.13,578397.59,0.07546791477786802,174.38
78,2010-11-10,0.2231,5031.88,1111.55,573365.71,0.07477686070270491,171.03
79,2010-11-11,0.2682,40720.39,10494.46,614086.1,0.07560017058911613,127.36
80,2010-11-12,0.276,21915.57,6351.58,636001.67,0.07621512837425035,126.71
81,2010-11-14,0.2682,8507.74,2337.5,644338.26,0.0759936019690467,65.64
82,2010-11-15,0.223,33931.01,8609.67,610407.25,0.0740464389855231,80.67
83,2010-11-16,0.2299,32871.6,8662.61,643278.85,0.07190761641752971,78.68
84,2010-11-17,0.2678,37446.67,10253.27,680725.52,0.06989543002179076,72.67
85,2010-11-18,0.28,2157.56,583.45,682883.08,0.0678117550756268,73.35
86,2010-11-19,0.28300000000000003,14652.69,4119.07,697535.77,0.06568075427976323,73.34
87,2010-11-20,0.2767,765.0,212.67,696770.77,0.0624291857217846,72.64
88,2010-11-21,0.2879,28205.85,7818.64,724976.62,0.058955802752239224,39.02
89,2010-11-22,0.2829,4856.92,1361.82,720119.7,0.05519181431893783,42.31
90,2010-11-23,0.28300000000000003,2514.91,710.24,722634.61,0.051898181041365204,18.59
91,2010-11-24,0.28,1679.6,469.99,720955.01,0.04916341049026708,15.08
92,2010-11-25,0.2844,33531.88,9510.98,754486.89,0.04822030859419671,15.43
93,2010-11-26,0.28300000000000003,1825.39,515.9,752661.5,0.046196167055013705,13.76
94,2010-11-27,0.27,20802.13,5746.3,731859.37,0.044589967043266156,13.87
95,2010-11-28,0.2299,35055.4,8802.06,696803.97,0.04352531156840188,42.99
96,2010-11-29,0.2082,21476.25,4570.58,675327.72,0.04278885127113685,44.29
97,2010-11-30,0.2275,8157.89,1752.72,683485.61,0.0415231861555176,58.09
98,2010-12-01,0.255,20312.23,4800.55,703797.84,0.039597744043485046,70.27
99,2010-12-02,0.251,2570.34,633.78,701227.5,0.03745530378476749,70.15
100,2010-12-03,0.205,28560.72,6673.4,672666.78,0.038509333246973504,86.02
101,2010-12-04,0.19,5740.18,1178.03,666926.6,0.040783713365289465,78.92
102,2010-12-05,0.204,4319.26,863.02,671245.86,0.034120227088220614,79.58
103,2010-12-06,0.233,24592.92,5411.8,695838.78,0.030306897852985265,84.75
104,2010-12-07,0.2388,3430.41,789.86,699269.19,0.030356810101528263,77.78
105,2010-12-08,0.2,21336.33,4411.94,677932.86,0.030876212805999986,89.86
106,2010-12-09,0.204,1684.25,328.17,679617.11,0.031995729779737005,72.77
107,2010-12-10,0.228,5788.69,1267.2,685405.8,0.03186724329781786,73.4
108,2010-12-11,0.22,1963.56,418.8,683442.24,0.03212748241672228,73.88
109,2010-12-12,0.2299,6415.59,1425.92,689857.83,0.03185859002876158,64.58
110,2010-12-13,0.2467,10388.1,2403.83,700245.93,0.031272207925021285,67.36
111,2010-12-15,0.25,14355.33,3522.62,710916.58,0.0307472649003223,38.86
112,2010-12-16,0.24,525.51,130.19,710391.07,0.0306246315483351,33.77
113,2010-12-18,0.2401,2000.76,487.49,708559.42,0.02963468378030441,29.58
114,2010-12-19,0.267,10682.71,2769.88,719242.13,0.029041045071598083,36.87
