Date,Price,Daily_Returns
15-Apr-20,6736.9000,-0.0166
14-Apr-20,6850.9000,0.0014
13-Apr-20,6841.3000,-0.011
12-Apr-20,6917.6000,0.0073
11-Apr-20,6867.8000,0.0007
10-Apr-20,6863.1000,-0.0584
9-Apr-20,7289.0000,-0.0098
8-Apr-20,7361.2000,0.0245
7-Apr-20,7185.2000,-0.0201
6-Apr-20,7332.3000,0.0826
5-Apr-20,6772.7000,-0.0123
4-Apr-20,6857.4000,0.018
3-Apr-20,6735.9000,-0.0095
2-Apr-20,6800.5000,0.0244
1-Apr-20,6638.5000,0.0352
31-Mar-20,6412.5000,0.0034
30-Mar-20,6391.0000,0.085
29-Mar-20,5890.4000,-0.0551
28-Mar-20,6233.7000,-0.0219
27-Mar-20,6373.4000,-0.0523
26-Mar-20,6725.1000,0.0069
25-Mar-20,6678.9000,-0.0097
24-Mar-20,6744.6000,0.0426
23-Mar-20,6468.9000,0.1111
22-Mar-20,5822.1000,-0.0589
21-Mar-20,6186.2000,-0.0031
20-Mar-20,6205.3000,0.0054
19-Mar-20,6172.0000,0.1512
18-Mar-20,5361.4000,0.0191
17-Mar-20,5261.1000,0.0459
16-Mar-20,5030.0000,-0.0627
15-Mar-20,5366.3000,0.0354
14-Mar-20,5182.7000,-0.0719
13-Mar-20,5584.3000,0.1571
12-Mar-20,4826.0000,-0.3918
11-Mar-20,7935.1000,0.0056
10-Mar-20,7891.2000,-0.0053
9-Mar-20,7933.0000,-0.0126
8-Mar-20,8034.1000,-0.0961
7-Mar-20,8887.8000,-0.027
6-Mar-20,9134.8000,0.0082
5-Mar-20,9060.3000,0.0345
4-Mar-20,8757.9000,-0.0004
3-Mar-20,8761.4000,-0.0161
2-Mar-20,8904.8000,0.0427
1-Mar-20,8540.0000,-0.0004
29-Feb-20,8543.7000,-0.0177
28-Feb-20,8697.5000,-0.0137
27-Feb-20,8818.6000,0.0021
26-Feb-20,8800.3000,-0.0555
25-Feb-20,9317.2000,-0.0357
24-Feb-20,9662.7000,-0.0282
23-Feb-20,9942.7000,0.0297
22-Feb-20,9655.7000,-0.003
21-Feb-20,9684.5000,0.0085
20-Feb-20,9602.4000,-0.0007
19-Feb-20,9609.4000,-0.054
18-Feb-20,10158.4000,0.0471
17-Feb-20,9701.4000,-0.0232
16-Feb-20,9932.3000,0.0025
15-Feb-20,9907.7000,-0.0412
14-Feb-20,10333.0000,0.0096
13-Feb-20,10235.1000,-0.008
12-Feb-20,10317.7000,0.0086
11-Feb-20,10229.5000,0.0381
10-Feb-20,9854.1000,-0.0293
9-Feb-20,10151.5000,0.0259
8-Feb-20,9895.5000,0.0078
7-Feb-20,9818.6000,0.0048
6-Feb-20,9772.0000,0.0167
5-Feb-20,9611.8000,0.0454
4-Feb-20,9193.9000,-0.011
3-Feb-20,9296.6000,-0.0041
2-Feb-20,9334.9000,-0.005
1-Feb-20,9381.6000,0.0035
31-Jan-20,9349.1000,-0.0166
30-Jan-20,9507.3000,0.0224
29-Jan-20,9298.9000,-0.0084
28-Jan-20,9377.3000,0.0576
27-Jan-20,8866.6000,0.0301
26-Jan-20,8607.8000,0.0319
25-Jan-20,8341.6000,-0.0117
24-Jan-20,8439.9000,0.0041
23-Jan-20,8405.1000,-0.0315
22-Jan-20,8678.5000,-0.0062
21-Jan-20,8732.6000,0.0105
20-Jan-20,8641.9000,-0.0074
19-Jan-20,8706.2000,-0.0236
18-Jan-20,8916.3000,0.0004
17-Jan-20,8913.1000,0.0213
16-Jan-20,8726.9000,-0.0104
15-Jan-20,8818.3000,-0.0012
14-Jan-20,8829.2000,0.0885
13-Jan-20,8111.4000,-0.0093
12-Jan-20,8187.6000,0.0204
11-Jan-20,8024.1000,-0.0199
10-Jan-20,8187.1000,0.044
9-Jan-20,7842.4000,-0.027
8-Jan-20,8059.6000,-0.0118
7-Jan-20,8155.7000,0.0511
6-Jan-20,7759.1000,0.0524
5-Jan-20,7372.5000,-0.0006
4-Jan-20,7376.8000,0.0046
3-Jan-20,7343.1000,0.054
2-Jan-20,6967.0000,-0.0323
1-Jan-20,7199.8000,0.0005
31-Dec-19,7196.4000,-0.009
30-Dec-19,7261.8000,-0.0184
29-Dec-19,7397.5000,0.0104
28-Dec-19,7321.5000,0.0082
27-Dec-19,7261.7000,0.007
26-Dec-19,7210.9000,-0.0019
25-Dec-19,7224.8000,-0.006
24-Dec-19,7268.3000,-0.0074
23-Dec-19,7322.8000,-0.0231
22-Dec-19,7495.8000,0.0474
21-Dec-19,7156.2000,-0.0056
20-Dec-19,7196.4000,0.0043
19-Dec-19,7165.5000,-0.0152
18-Dec-19,7276.0000,0.1002
17-Dec-19,6613.3000,-0.042
16-Dec-19,6903.5000,-0.0316
15-Dec-19,7128.5000,0.0067
14-Dec-19,7080.8000,-0.024
13-Dec-19,7255.2000,0.0065
12-Dec-19,7208.0000,0
11-Dec-19,7208.0000,-0.0038
10-Dec-19,7235.7000,-0.0163
9-Dec-19,7355.8000,-0.0224
8-Dec-19,7524.4000,0.0018
7-Dec-19,7510.9000,-0.0026
6-Dec-19,7530.8000,0.0178
5-Dec-19,7399.2000,0.027
4-Dec-19,7204.4000,-0.012
3-Dec-19,7291.8000,-0.0009
2-Dec-19,7298.2000,-0.0133
1-Dec-19,7396.4000,-0.0199
30-Nov-19,7546.6000,-0.0253
29-Nov-19,7742.7000,0.0426
28-Nov-19,7426.7000,-0.0112
27-Nov-19,7510.6000,0.0486
26-Nov-19,7162.8000,0.0066
25-Nov-19,7115.6000,0.0276
24-Nov-19,6924.7000,-0.0545
23-Nov-19,7324.1000,0.0071
22-Nov-19,7272.5000,-0.0466
21-Nov-19,7627.9000,-0.0582
20-Nov-19,8099.3000,-0.0057
19-Nov-19,8145.7000,-0.0076
18-Nov-19,8208.4000,-0.0354
17-Nov-19,8509.8000,0.0015
16-Nov-19,8497.3000,0.0025
15-Nov-19,8476.3000,-0.0213
14-Nov-19,8661.2000,-0.0139
13-Nov-19,8783.1000,-0.0033
12-Nov-19,8812.6000,0.0087
11-Nov-19,8736.9000,-0.0332
10-Nov-19,9036.8000,0.0264
9-Nov-19,8804.5000,0.003
8-Nov-19,8778.2000,-0.0483
7-Nov-19,9223.5000,-0.0124
6-Nov-19,9338.9000,0.003
5-Nov-19,9310.8000,-0.0091
4-Nov-19,9396.4000,0.0215
3-Nov-19,9198.3000,-0.011
2-Nov-19,9300.6000,0.0076
1-Nov-19,9230.1000,0.0085
31-Oct-19,9152.6000,-0.0006
30-Oct-19,9157.9000,-0.0269
29-Oct-19,9411.3000,0.0222
28-Oct-19,9207.2000,-0.0338
27-Oct-19,9529.6000,0.0324
26-Oct-19,9230.6000,0.0661
25-Oct-19,8658.3000,0.1665
24-Oct-19,7422.7000,-0.0073
23-Oct-19,7477.0000,-0.069
22-Oct-19,8031.4000,-0.0215
21-Oct-19,8208.2000,-0.0018
20-Oct-19,8223.4000,0.0334
19-Oct-19,7957.3000,0.0011
18-Oct-19,7948.5000,-0.0155
17-Oct-19,8073.3000,0.0091
16-Oct-19,8000.4000,-0.0204
15-Oct-19,8167.2000,-0.0223
14-Oct-19,8353.3000,0.0087
13-Oct-19,8281.5000,-0.0028
12-Oct-19,8304.4000,0.0044
11-Oct-19,8267.8000,-0.0344
10-Oct-19,8562.3000,-0.0005
9-Oct-19,8566.7000,0.0469
8-Oct-19,8182.9000,-0.0019
