Date,Price,Daily_Returns
15-Apr-20,40.4000,-0.0208
14-Apr-20,41.2500,0.0013
13-Apr-20,41.2000,-0.0196
12-Apr-20,42.0200,-0.012
11-Apr-20,42.5300,0.0062
10-Apr-20,42.2700,-0.0866
9-Apr-20,46.2800,-0.0057
8-Apr-20,46.5400,0.0369
7-Apr-20,44.8900,-0.0028
6-Apr-20,45.0100,0.1157
5-Apr-20,40.3400,-0.009
4-Apr-20,40.7100,0.0053
3-Apr-20,40.4900,0.015
2-Apr-20,39.9000,0.0174
1-Apr-20,39.2100,0.0035
31-Mar-20,39.0800,0.004
30-Mar-20,38.9200,0.0468
29-Mar-20,37.1900,-0.0429
28-Mar-20,38.8500,0.0209
27-Mar-20,38.0600,-0.0583
26-Mar-20,40.4100,0.0314
25-Mar-20,39.1800,-0.0343
24-Mar-20,40.5700,0.039
23-Mar-20,39.0500,0.1022
22-Mar-20,35.4300,-0.076
21-Mar-20,38.3500,0.0079
20-Mar-20,38.0500,-0.0238
19-Mar-20,38.9700,0.123
18-Mar-20,34.7100,0.0153
17-Mar-20,34.1800,0.0319
16-Mar-20,33.1300,-0.0897
15-Mar-20,36.3900,0.0567
14-Mar-20,34.4400,-0.0829
13-Mar-20,37.5500,0.2585
12-Mar-20,29.8400,-0.3854
11-Mar-20,48.5500,-0.0328
10-Mar-20,50.2000,-0.0062
9-Mar-20,50.5100,-0.0089
8-Mar-20,50.9600,-0.157
7-Mar-20,60.4500,-0.0436
6-Mar-20,63.2100,0.0186
5-Mar-20,62.0600,0.0284
4-Mar-20,60.3500,-0.0109
3-Mar-20,61.0100,-0.0066
2-Mar-20,61.4200,0.0631
1-Mar-20,57.7700,-0.0053
29-Feb-20,58.0800,-0.0305
28-Feb-20,59.9000,-0.0287
27-Feb-20,61.6700,0.0179
26-Feb-20,60.5900,-0.1472
25-Feb-20,71.0500,-0.06
24-Feb-20,75.5800,-0.0518
23-Feb-20,79.7100,0.0653
22-Feb-20,74.8200,0.0208
