,Date,close,volumefrom,volumeto,OBV,Volatility_7Day
0,2017-08-02,405.92,92856.1,39430900.09,-7276.25,385.85
1,2017-08-03,253.13,133487.37,39012988.12,-140763.62,293.34
2,2017-08-04,220.3,116728.92,26697590.83,-257492.54,216.48
3,2017-08-05,241.87,92025.16,19175891.13,-165467.38,210.48
4,2017-08-06,322.6,305369.81,89374025.1,139902.43,226.43
5,2017-08-07,343.43,189918.52,65405748.92,329820.95,185.17
6,2017-08-08,301.17,98243.16,31524578.59,231577.79,171.97
7,2017-08-09,274.48,90794.01,26331114.65,140783.78,110.16
8,2017-08-10,326.26,115445.06,37100135.8,256228.84,104.48
9,2017-08-11,316.0,41121.01,13359671.69,215107.83,106.98
10,2017-08-12,295.15,44494.54,13655828.8,170613.29,74.58
11,2017-08-13,300.03,62398.26,19118045.5,233011.55,71.38
12,2017-08-14,297.36,38751.32,11537495.55,194260.23,62.17
13,2017-08-15,299.68,35034.62,10407736.35,229294.85,54.89
14,2017-08-16,445.19,190744.55,72997662.11,420039.4,112.89
15,2017-08-17,689.83,599573.95,350422575.89,1019613.35,147.97
16,2017-08-18,738.54,488212.73,382644710.5,1507826.08,136.15
17,2017-08-19,719.27,231694.52,176097781.09,1276131.56,140.31
18,2017-08-20,605.22,216266.02,137835348.17,1059865.54,161.33
19,2017-08-21,684.6,190941.81,127212595.92,1250807.35,157.39
20,2017-08-22,674.08,66100.43,44395029.53,1184706.92,136.28
21,2017-08-23,619.83,74455.2,47944401.5,1110251.72,69.59
22,2017-08-24,632.48,50996.06,32464569.83,1161247.78,65.51
23,2017-08-25,621.43,29106.51,18170375.11,1132141.27,65.54
24,2017-08-26,616.29,66741.61,40956416.01,1065399.66,44.9
25,2017-08-27,591.11,31720.36,19001371.41,1033679.3,23.24
26,2017-08-28,544.74,77738.0,43470346.16,955941.3,27.46
27,2017-08-29,580.34,83886.18,47761724.91,1039827.48,32.94
28,2017-08-30,592.59,47178.07,27937832.9,1087005.55,33.0
29,2017-08-31,628.73,60745.39,37807706.16,1147750.94,37.76
30,2017-09-01,572.65,62092.22,36984224.54,1085658.72,45.85
31,2017-09-02,609.85,46203.88,27470981.39,1131862.6,48.57
32,2017-09-03,519.3,72956.35,39354607.68,1058906.25,63.29
33,2017-09-04,546.74,58083.51,30106018.14,1116989.76,62.2
34,2017-09-05,647.64,88989.8,54825116.2,1205979.56,79.13
35,2017-09-06,667.56,105468.99,70423045.63,1311448.55,78.1
36,2017-09-07,605.66,104688.46,65565655.08,1206760.09,78.55
37,2017-09-08,586.24,41215.06,24260056.8,1165545.03,77.08
38,2017-09-09,556.9,49721.21,27588948.77,1115823.82,62.26
39,2017-09-10,556.02,35006.3,19801627.19,1080817.52,60.93
40,2017-09-11,536.96,39799.94,22082978.96,1041017.58,28.66
41,2017-09-12,506.49,70909.36,35647701.89,970108.22,21.04
42,2017-09-13,386.49,98635.73,43447407.4,871472.49,64.46
43,2017-09-14,428.88,209392.62,81380795.6,1080865.11,80.7
44,2017-09-15,443.21,80026.4,35057627.63,1160891.51,83.88
45,2017-09-16,439.07,38498.31,16667495.97,1122393.2,83.62
46,2017-09-17,486.03,70189.85,33211175.33,1192583.05,91.91
47,2017-09-18,530.6,99852.71,50064941.67,1292435.76,94.51
48,2017-09-19,477.25,98868.91,49416655.67,1193566.85,54.23
49,2017-09-20,416.13,76159.01,34350076.54,1117407.84,65.29
50,2017-09-21,409.63,65044.59,26731878.33,1052363.25,64.14
51,2017-09-22,430.31,36856.66,15542354.15,1089219.91,66.34
52,2017-09-23,421.19,33943.57,14388923.18,1055276.34,57.03
53,2017-09-24,450.85,53204.05,23480486.36,1108480.39,53.84
54,2017-09-25,449.56,32491.91,14765728.97,1075988.48,47.49
55,2017-09-26,464.14,66193.41,30195113.53,1142181.89,24.32
56,2017-09-27,458.15,74325.45,34380897.03,1067856.44,23.99
57,2017-09-28,440.55,48262.99,21350204.92,1019593.45,25.91
58,2017-09-29,435.95,54455.28,24220359.29,965138.17,25.14
59,2017-09-30,418.05,56383.01,24068045.14,908755.16,17.8
60,2017-10-01,419.68,71968.89,30198291.7,980724.05,18.21
61,2017-10-02,401.41,42773.01,17248218.77,937951.04,13.36
62,2017-10-03,355.75,124502.91,46419226.31,813448.13,28.45
63,2017-10-04,354.4,107627.58,38188747.04,705820.55,30.31
64,2017-10-05,363.22,53859.01,19726320.95,759679.56,34.13
65,2017-10-06,359.81,32557.49,11726397.59,727122.07,34.3
66,2017-10-07,343.52,62838.57,22147895.06,664283.5,33.27
67,2017-10-08,312.43,135597.09,42738393.43,528686.41,37.25
68,2017-10-09,317.19,125190.16,40789265.44,653876.57,29.31
69,2017-10-10,314.21,61615.98,19338916.48,592260.59,29.1
70,2017-10-11,310.56,101049.2,32051057.84,491211.39,25.7
71,2017-10-12,320.11,118653.63,36812373.16,609865.02,29.83
72,2017-10-13,321.67,67206.51,21544074.06,677071.53,29.0
73,2017-10-14,314.1,37848.62,11896226.69,639222.91,13.04
74,2017-10-15,313.94,27676.61,8702010.54,611546.3,12.21
75,2017-10-16,367.84,243410.54,88485919.9,854956.84,44.33
76,2017-10-17,338.72,120444.57,40142126.1,734512.27,52.87
77,2017-10-18,329.66,54347.94,17971549.74,680164.33,53.62
78,2017-10-19,326.03,43810.23,14375667.89,636354.1,53.8
79,2017-10-20,322.12,31405.55,10098593.04,604948.55,53.39
80,2017-10-21,325.88,93903.63,31515652.72,698852.18,53.4
81,2017-10-22,312.05,66606.73,20958214.24,632245.45,21.48
82,2017-10-23,322.28,77264.23,25115720.96,709509.68,17.8
83,2017-10-24,329.47,34958.2,11348229.55,744467.88,18.2
84,2017-10-25,335.68,70179.03,23659411.7,814646.91,18.4
85,2017-10-26,363.84,127583.8,45524489.34,942230.71,26.22
86,2017-10-27,417.22,175686.09,67773673.63,1117916.8,40.43
87,2017-10-28,451.91,572432.17,259090603.37,1690348.97,30.39
88,2017-10-29,444.93,193899.08,87034115.9,1496449.89,36.53
89,2017-10-30,435.48,98339.43,43638797.69,1398110.46,41.37
90,2017-10-31,529.88,249273.2,122331291.42,1647383.66,55.99
91,2017-11-01,562.79,314670.88,170606048.18,1962054.54,56.12
92,2017-11-02,626.04,331298.66,212978833.44,2293353.2,53.64
93,2017-11-03,614.26,224020.94,136414146.92,2069332.26,58.09
94,2017-11-04,625.72,147005.72,88707513.0,2216337.98,55.35
95,2017-11-05,588.68,160442.93,99875447.46,2055895.05,60.95
96,2017-11-06,603.26,72283.97,43387451.36,2128179.02,38.66
97,2017-11-07,617.41,213140.03,129168410.93,2341319.05,36.67
98,2017-11-08,650.09,138517.84,88271349.36,2479836.89,26.34
99,2017-11-09,995.4,668162.3,562027429.83,3147999.19,114.38
100,2017-11-10,1325.56,350109.81,404695851.15,3498109.0,124.08
101,2017-11-11,1374.39,544972.02,877406443.96,4043081.02,113.73
102,2017-11-12,1346.96,288010.82,361634817.91,3755070.2,118.26
103,2017-11-13,1251.63,129369.96,165309100.46,3625700.24,128.53
104,2017-11-14,1187.03,108532.62,135275562.63,3517167.62,136.07
105,2017-11-15,896.51,196969.98,203434765.52,3320197.64,121.16
106,2017-11-16,1175.54,229956.38,246137619.18,3550154.02,117.82
107,2017-11-17,1243.86,186220.18,237178090.81,3736374.2,118.78
108,2017-11-18,1176.66,96217.99,114092155.08,3640156.21,119.25
109,2017-11-19,1245.28,63055.0,75604482.13,3703211.21,119.57
110,2017-11-20,1169.9,73911.91,87834756.56,3629299.3,119.95
111,2017-11-21,1298.62,106768.91,135737842.08,3736068.21,80.64
112,2017-11-22,1662.21,201412.14,301664725.36,3937480.35,75.28
113,2017-11-23,1625.05,159800.54,265161800.14,3777679.81,78.34
114,2017-11-24,1546.22,106475.37,168521398.64,3671204.44,77.71
115,2017-11-25,1719.36,45358.13,73523501.34,3716562.57,79.45
116,2017-11-26,1587.66,99369.0,162585449.5,3617193.57,81.74
117,2017-11-27,1481.93,97309.59,149808661.02,3519883.98,85.12
118,2017-11-28,1333.15,178364.5,262656502.72,3341519.48,49.71
119,2017-11-29,1318.42,116177.53,150181384.27,3225341.95,50.09
120,2017-11-30,1426.5,94281.57,128160246.64,3319623.52,58.07
121,2017-12-01,1390.58,46212.49,65529684.57,3273411.03,43.49
122,2017-12-02,1511.46,110384.17,170307885.53,3383795.2,50.61
123,2017-12-03,1540.7,61047.95,91600694.31,3444843.15,46.83
124,2017-12-04,1421.42,76294.69,113943413.18,3368548.46,41.8
125,2017-12-05,1349.75,92022.37,129572220.35,3276526.09,44.95
126,2017-12-06,1230.0,123812.84,156825923.82,3152713.25,43.83
127,2017-12-07,1383.3,203852.98,281476871.56,3356566.23,58.15
128,2017-12-08,1369.36,83939.26,116894421.1,3272626.97,51.44
129,2017-12-09,1289.78,80859.32,103219889.01,3191767.65,51.08
130,2017-12-10,1402.18,70404.27,96857495.59,3262171.92,55.73
131,2017-12-11,1543.45,108785.79,162733015.51,3370957.71,58.45
132,2017-12-12,1572.91,125131.91,194831180.86,3496089.62,45.63
133,2017-12-13,1933.27,220803.74,409667501.78,3716893.36,61.92
134,2017-12-14,1795.31,109849.42,191047439.84,3607043.94,69.73
135,2017-12-15,1773.75,62028.65,110491376.74,3545015.29,64.46
136,2017-12-16,1827.41,60356.9,110593944.27,3605372.19,63.88
137,2017-12-17,2146.79,203611.05,418792732.06,3808983.24,70.52
138,2017-12-18,2670.97,272005.86,651099368.75,4080989.1,81.28
139,2017-12-19,3715.91,545546.68,1915071070.77,4626535.78,101.29
140,2017-12-20,3084.09,242943.03,787854447.7,4383592.75,121.43
141,2017-12-21,2521.46,397962.38,959174529.93,3985630.37,143.9
142,2017-12-22,2991.57,189040.5,562467930.34,4174670.87,146.43
143,2017-12-23,2797.92,164197.45,439830450.44,4010473.42,148.59
144,2017-12-24,2739.94,67929.79,187864797.77,3942543.63,137.75
145,2017-12-25,2921.84,64768.32,182771250.32,4007311.95,95.04
146,2017-12-26,2710.64,58588.61,161281901.39,3948723.34,84.26
147,2017-12-27,2484.96,79023.66,193654890.44,3869699.68,66.85
148,2017-12-28,2619.32,107608.19,279681307.4,3977307.87,43.79
149,2017-12-29,2209.96,95886.67,221420859.69,3881421.2,59.06
150,2017-12-30,2371.83,55810.75,131177357.02,3937231.95,66.25
151,2017-12-31,2319.12,34566.74,80872345.44,3902665.21,60.01
152,2018-01-01,2555.49,85541.57,213749238.32,3988206.78,68.22
153,2018-01-02,2557.52,65561.81,170977759.75,4053768.59,63.53
154,2018-01-03,2355.78,69356.28,167327220.48,3984412.31,65.04
155,2018-01-04,2390.04,78812.67,188339076.32,4063224.98,42.58
156,2018-01-05,2533.24,76198.33,189153648.98,4139423.31,41.22
157,2018-01-06,2530.44,77755.49,203905526.98,4061667.82,40.1
158,2018-01-07,2404.74,71860.87,173810008.85,3989806.95,32.73
159,2018-01-08,2376.68,49307.69,118646869.3,3940499.26,32.54
160,2018-01-09,2856.93,164422.06,428980394.88,4104921.32,54.36
161,2018-01-10,2437.92,144720.16,370363445.96,3960201.16,75.21
162,2018-01-11,2596.2,58436.46,147982320.1,4018637.62,75.52
163,2018-01-12,2664.9,68076.41,183442789.42,4086714.03,75.71
164,2018-01-13,2530.21,44514.4,114182801.74,4042199.63,75.77
165,2018-01-14,2394.05,50762.57,124413534.2,3991437.06,77.66
166,2018-01-15,1761.61,211689.81,413640550.4,3779747.25,88.77
167,2018-01-16,1748.8,168430.05,275433374.11,3611317.2,86.53
168,2018-01-17,1708.87,77029.25,138733377.09,3534287.95,79.08
169,2018-01-18,1756.72,46793.43,82814184.28,3581081.38,79.24
170,2018-01-19,2024.32,76878.11,150204592.86,3657959.49,97.91
171,2018-01-20,1772.37,64013.53,116810397.92,3593945.96,101.33
172,2018-01-21,1606.05,68392.84,111361124.15,3525553.12,64.18
173,2018-01-22,1614.46,55456.28,88416102.82,3581009.4,64.41
174,2018-01-23,1653.46,39267.99,63619330.87,3620277.39,65.03
175,2018-01-24,1632.11,31327.58,51824161.08,3588949.81,64.14
176,2018-01-25,1594.67,52474.44,82441054.63,3536475.37,40.84
177,2018-01-26,1632.08,30365.61,49189009.08,3566840.98,30.09
178,2018-01-27,1742.54,57954.17,98711706.94,3624795.15,20.89
179,2018-01-28,1650.36,29214.55,49086467.06,3595580.6,27.93
180,2018-01-29,1462.99,56836.85,87724135.57,3538743.75,42.22
181,2018-01-30,1487.18,48581.92,71084957.65,3587325.67,43.4
182,2018-01-31,1267.99,82606.34,109869806.02,3504719.33,58.4
183,2018-02-01,1192.13,125569.3,143714769.61,3379150.03,55.01
184,2018-02-02,1273.08,55292.57,66300292.5,3434442.6,55.05
185,2018-02-03,1158.57,56805.55,66945106.18,3377637.05,56.21
186,2018-02-04,884.0,110686.53,106539840.76,3266950.52,79.96
187,2018-02-05,966.79,171195.13,148384673.61,3438145.65,89.75
188,2018-02-06,954.34,81874.09,79923338.86,3356271.56,85.89
189,2018-02-07,1280.55,175942.65,214474236.99,3532214.21,125.12
190,2018-02-08,1299.97,90046.46,114267322.89,3622260.67,123.97
191,2018-02-09,1240.62,73317.51,93963908.26,3548943.16,121.34
192,2018-02-10,1210.99,54895.1,67332282.15,3494048.06,83.96
193,2018-02-11,1282.63,31886.53,40345803.75,3525934.59,83.17
194,2018-02-12,1220.89,36215.01,44591425.59,3489719.58,85.98
195,2018-02-13,1353.18,60999.91,79707919.34,3550719.49,40.43
196,2018-02-14,1359.47,60927.45,82442472.88,3611646.94,40.4
197,2018-02-15,1530.44,93378.64,138109049.14,3705025.58,45.3
198,2018-02-16,1543.21,41821.44,63990375.61,3746847.02,42.36
199,2018-02-17,1453.37,75060.95,114117616.17,3671786.07,49.45
200,2018-02-18,1521.92,35499.42,53611463.67,3707285.49,44.06
201,2018-02-19,1393.77,59324.36,88749089.63,3647961.13,48.83
202,2018-02-20,1287.06,77156.39,103151392.56,3570804.74,53.88
203,2018-02-21,1210.0,55340.84,68674973.89,3515463.9,35.48
204,2018-02-22,1256.52,55199.9,68204427.7,3570663.8,39.55
205,2018-02-23,1182.03,41958.11,50410015.34,3528705.69,39.61
206,2018-02-24,1172.58,30581.37,35860331.02,3498124.32,32.0
207,2018-02-25,1244.42,42834.66,52096798.0,3540958.98,38.18
208,2018-02-26,1234.2,34672.53,43526909.53,3506286.45,32.75
209,2018-02-27,1200.33,29735.14,36633612.32,3476551.31,28.87
210,2018-02-28,1285.01,39078.61,49698398.88,3515629.92,33.28
211,2018-03-01,1276.64,26693.95,34180148.43,3488935.97,26.6
212,2018-03-02,1272.26,18584.98,23806066.61,3470350.99,26.32
213,2018-03-03,1285.24,19411.74,24322755.34,3489762.73,21.81
214,2018-03-04,1266.93,17016.34,21796123.43,3472746.39,22.2
215,2018-03-05,1207.43,27914.11,34034339.1,3444832.28,25.22
216,2018-03-06,1095.91,55007.26,61717752.11,3389825.02,26.11
217,2018-03-07,1033.96,51525.31,54449069.86,3338299.71,26.37
218,2018-03-08,1065.69,76018.18,74990482.15,3414317.89,31.03
219,2018-03-09,1003.78,34916.84,36509623.0,3379401.05,28.9
220,2018-03-10,1138.84,58706.14,63353716.37,3438107.19,54.06
221,2018-03-11,1051.06,51798.63,56197766.22,3386308.56,56.27
222,2018-03-12,1053.55,70300.42,73859997.65,3456608.98,51.06
223,2018-03-13,950.28,45440.37,45006196.01,3411168.61,56.19
224,2018-03-14,939.68,50170.39,46027181.95,3360998.22,54.43
225,2018-03-15,972.37,68806.52,67652711.21,3429804.74,54.47
226,2018-03-16,948.93,44626.89,43519077.02,3385177.85,34.16
227,2018-03-17,936.27,60687.24,54591156.08,3324490.61,30.19
228,2018-03-18,994.67,61104.15,58729088.37,3385594.76,37.08
229,2018-03-19,1062.82,64378.46,65725834.78,3449973.22,26.43
230,2018-03-20,1031.78,39952.43,41647329.16,3410020.79,28.61
231,2018-03-21,1015.19,37921.37,38596693.88,3372099.42,28.97
232,2018-03-22,1029.74,32631.3,32361593.34,3404730.72,27.12
233,2018-03-23,975.94,22487.02,22789755.24,3382243.7,32.28
234,2018-03-24,975.38,20276.54,19901849.35,3361967.16,27.26
235,2018-03-25,913.74,34896.83,32326463.92,3327070.33,20.16
236,2018-03-26,877.69,34512.83,31192960.89,3292557.5,20.57
237,2018-03-27,861.18,32150.25,28131311.49,3260407.25,20.45
238,2018-03-28,711.13,111162.53,84465419.21,3149244.72,44.64
239,2018-03-29,696.93,93871.58,66701444.54,3055373.14,46.05
240,2018-03-30,685.47,44426.81,31372272.95,3010946.33,44.55
241,2018-03-31,644.25,64929.04,42473944.5,2946017.29,44.52
242,2018-04-01,663.98,37673.71,25140139.8,2983691.0,50.61
243,2018-04-02,710.13,42372.73,29654275.41,3026063.73,59.26
244,2018-04-03,651.52,55896.19,37251371.87,2970167.54,37.4
245,2018-04-04,644.1,37585.5,24056410.61,2932582.04,37.36
246,2018-04-05,610.89,40756.71,25194290.78,2891825.33,38.9
247,2018-04-06,642.65,33125.54,21177510.64,2924950.87,39.93
248,2018-04-07,657.44,18037.61,11811319.99,2942988.48,39.48
249,2018-04-08,638.73,32853.6,21427207.22,2910134.88,32.83
250,2018-04-09,652.58,21862.24,14140291.35,2931997.12,25.21
251,2018-04-10,670.06,30737.18,20148758.61,2962734.3,25.74
252,2018-04-11,737.84,84689.75,59525564.71,3047424.05,27.05
253,2018-04-12,743.27,66990.61,50554153.69,3114414.66,26.89
254,2018-04-13,739.16,27352.5,20328761.5,3087062.16,28.08
255,2018-04-14,782.05,32926.88,25358793.03,3119989.04,24.45
256,2018-04-15,769.81,44457.82,34201319.68,3075531.22,27.89
257,2018-04-16,759.77,33481.35,25887561.51,3042049.87,29.98
258,2018-04-17,895.45,87149.33,73810458.43,3129199.2,46.08
259,2018-04-18,966.63,87498.52,81766110.86,3216697.72,46.59
260,2018-04-19,1124.67,144807.61,154352797.77,3361505.33,51.08
261,2018-04-20,1154.45,138996.4,154795305.47,3500501.73,52.41
262,2018-04-21,1195.64,120249.99,144092452.68,3620751.72,47.13
263,2018-04-22,1440.95,226026.87,309318983.37,3846778.59,45.9
264,2018-04-23,1407.55,246119.9,366818528.51,3600658.69,52.72
265,2018-04-24,1289.86,289587.91,381199575.56,3311070.78,68.49
