,Date,close,volumefrom,volumeto,OBV,Volatility_7Day
0,2010-07-18,0.0808,574.0,49.66,-498.99,441.07
1,2010-07-19,0.07474,262.0,20.59,-760.99,275.34
2,2010-07-20,0.07921,575.0,42.26,-185.99,213.52
3,2010-07-21,0.0505,2160.0,129.78,-2345.99,275.66
4,2010-07-22,0.06262000000000001,2402.5,141.07,56.51,242.32
5,2010-07-23,0.05454,496.32,26.73,-439.81,146.45
6,2010-07-24,0.0505,1551.48,85.06,-1991.29,146.37
7,2010-07-26,0.06,3373.69,196.92,2259.4,155.01
8,2010-07-27,0.0589,4390.29,255.76,-2130.89,84.99
9,2010-07-28,0.0699,8058.49,528.32,5927.6,76.93
10,2010-07-29,0.0627,3020.85,198.53,2906.75,71.97
11,2010-07-30,0.06785,4022.25,243.9,6929.0,65.0
12,2010-07-31,0.0611,2601.0,162.65,4328.0,73.51
13,2010-08-01,0.06,3599.0,221.2,729.0,71.62
14,2010-08-02,0.06,9821.46,606.05,729.0,71.37
15,2010-08-03,0.057,3494.0,210.77,-2765.0,46.66
16,2010-08-04,0.061,5034.07,303.61,2269.07,46.28
17,2010-08-05,0.0623,1395.0,85.91,3664.07,39.3
18,2010-08-07,0.0609,2201.0,132.6,3246.07,31.76
19,2010-08-08,0.071,13631.09,886.93,16877.16,51.45
20,2010-08-09,0.07,1310.39,88.87,15566.77,47.28
21,2010-08-10,0.067,14061.18,1015.64,1505.59,49.86
22,2010-08-11,0.07,2062.31,134.49,3567.9,50.45
23,2010-08-12,0.0645,3591.77,233.8,-23.87,54.33
24,2010-08-13,0.067,4404.2,295.31,4380.33,54.52
25,2010-08-14,0.06529,4462.87,294.95,-82.54,31.86
26,2010-08-15,0.0655,10731.47,696.8,10648.93,32.19
27,2010-08-16,0.07,13185.74,915.0,23834.67,35.91
28,2010-08-17,0.068,2953.98,203.83,20880.69,34.8
29,2010-08-18,0.0667,741.12,50.04,20139.57,25.64
30,2010-08-19,0.0655,4199.75,276.41,15939.82,23.86
31,2010-08-20,0.0664,10443.86,688.51,26383.68,23.04
32,2010-08-21,0.066,18648.97,1183.64,7734.71,23.16
33,2010-08-22,0.06491,4297.49,281.88,3437.22,9.745
34,2010-08-23,0.065,6711.76,444.66,10148.98,8.67
35,2010-08-24,0.0648,4228.88,278.86,5920.1,7.81
36,2010-08-25,0.064,3870.01,251.56,2050.09,7.077000000000001
37,2010-08-26,0.065,9009.97,583.71,11060.06,7.483
38,2010-08-27,0.0641,6174.01,399.45,4886.05,7.996
39,2010-08-28,0.064,3173.4,204.88,1712.65,7.037000000000001
40,2010-08-29,0.06497,34193.14,2135.0,35905.79,8.479
41,2010-08-30,0.06,14886.91,933.23,21018.88,23.14
42,2010-08-31,0.0629,7164.72,436.73,28183.6,28.24
43,2010-09-01,0.0634,8150.73,498.98,36334.33,27.88
44,2010-09-02,0.06085,892.0,54.61,35442.33,29.61
45,2010-09-03,0.06238,3301.0,202.27,38743.33,30.98
46,2010-09-04,0.0616,8459.24,527.97,30284.09,30.37
47,2010-09-05,0.0616,910.0,56.13,30284.09,20.07
48,2010-09-06,0.061,3457.19,212.35,26826.9,14.63
49,2010-09-07,0.062,2345.41,143.36,29172.31,15.42
50,2010-09-09,0.0618,4939.79,301.8,32378.6,8.54
51,2010-09-10,0.06366000000000001,7749.14,491.19,40127.74,11.01
52,2010-09-11,0.0615,793.88,48.99,39333.86,15.5
53,2010-09-14,0.0604,3651.85,223.27,31743.54,16.1
54,2010-09-15,0.0619,730.0,45.17,32473.54,17.4
55,2010-09-17,0.061,7092.61,427.76,32304.15,20.45
56,2010-09-18,0.0627,12852.17,797.36,45156.32,21.75
57,2010-09-19,0.0621,14307.94,891.19,30848.38,21.94
58,2010-09-20,0.06265,5735.95,359.82,36584.33,20.25
59,2010-09-21,0.0622,11560.4,717.33,25023.93,19.53
60,2010-09-23,0.0622,684.38,42.66,39844.88,8.945
61,2010-09-25,0.062,12058.13,748.2,25634.25,3.5380000000000003
62,2010-09-26,0.0622,10752.25,668.53,36386.5,2.439
63,2010-09-27,0.0619,7086.15,439.05,29300.35,1.969
64,2010-09-28,0.06191,23475.64,1450.79,52775.99,1.829
65,2010-09-29,0.0619,7917.03,488.15,44858.96,1.827
66,2010-10-01,0.0614,13059.74,802.52,33516.67,3.017
67,2010-10-03,0.0613,33995.37,2079.89,60339.41,2.991
68,2010-10-04,0.0614,27526.61,1699.2,87866.02,3.092
69,2010-10-05,0.06281,33433.3,2091.28,121299.32,7.229
70,2010-10-06,0.067,43692.98,2812.79,164992.3,18.15
71,2010-10-07,0.08685,139287.29,10784.23,304279.59,67.23
72,2010-10-08,0.0938,187846.95,16104.87,492126.54,64.15
73,2010-10-09,0.0965,50684.19,4889.35,542810.73,62.14
74,2010-10-10,0.095,14092.91,1395.23,528717.82,64.08
75,2010-10-11,0.0949,25660.75,2396.82,503057.07,65.98
76,2010-10-12,0.105,47557.27,4558.52,550614.34,66.51
77,2010-10-13,0.102,37217.28,3701.65,513397.06,34.55
78,2010-10-14,0.105,24643.33,2554.91,538040.39,30.69
79,2010-10-16,0.102,18222.19,1857.8,549977.87,33.19
80,2010-10-17,0.1024,25665.09,2591.64,575642.96,33.05
81,2010-10-19,0.099,31855.0,3221.08,601262.86,22.19
82,2010-10-20,0.107,44867.0,4616.85,646129.86,30.85
83,2010-10-21,0.1025,34603.91,3665.43,611525.95,31.35
84,2010-10-22,0.1055,4423.47,481.52,615949.42,32.15
85,2010-10-23,0.115,13800.23,1560.61,629749.65,38.73
86,2010-10-24,0.132,30299.64,4450.0,660049.29,41.44
87,2010-10-25,0.1503,19219.13,2995.09,679268.42,44.67
88,2010-10-26,0.1877,65605.87,11594.02,744874.29,60.92
89,2010-10-27,0.1731,21525.04,4009.67,723349.25,68.7
90,2010-10-28,0.19,28686.85,5380.49,752036.1,66.07
91,2010-10-29,0.1989,26708.94,5112.03,778745.04,67.58
92,2010-10-30,0.1925,40337.76,7829.46,738407.28,72.76
93,2010-10-31,0.1955,21258.61,4049.75,759665.89,70.07
94,2010-11-01,0.1938,5853.39,1121.34,753812.5,40.15
95,2010-11-02,0.1931,61472.63,11769.61,692339.87,29.74
96,2010-11-03,0.23,29698.43,6229.16,722038.3,49.32
97,2010-11-04,0.26,36622.07,8757.15,758660.37,55.19
98,2010-11-05,0.39,32756.13,9396.96,791416.5,105.16
99,2010-11-06,0.34,77218.72,27937.74,714197.78,124.34
100,2010-11-07,0.243,118203.83,38339.26,595993.95,170.15
101,2010-11-08,0.21,47983.39,12808.3,548010.56,177.32
102,2010-11-09,0.24,30387.03,6110.13,578397.59,174.38
103,2010-11-10,0.2231,5031.88,1111.55,573365.71,171.03
104,2010-11-11,0.2682,40720.39,10494.46,614086.1,127.36
105,2010-11-12,0.276,21915.57,6351.58,636001.67,126.71
106,2010-11-14,0.2682,8507.74,2337.5,644338.26,65.64
107,2010-11-15,0.223,33931.01,8609.67,610407.25,80.67
108,2010-11-16,0.2299,32871.6,8662.61,643278.85,78.68
109,2010-11-17,0.2678,37446.67,10253.27,680725.52,72.67
110,2010-11-18,0.28,2157.56,583.45,682883.08,73.35
111,2010-11-19,0.28300000000000003,14652.69,4119.07,697535.77,73.34
112,2010-11-20,0.2767,765.0,212.67,696770.77,72.64
113,2010-11-21,0.2879,28205.85,7818.64,724976.62,39.02
114,2010-11-22,0.2829,4856.92,1361.82,720119.7,42.31
115,2010-11-23,0.28300000000000003,2514.91,710.24,722634.61,18.59
116,2010-11-24,0.28,1679.6,469.99,720955.01,15.08
117,2010-11-25,0.2844,33531.88,9510.98,754486.89,15.43
118,2010-11-26,0.28300000000000003,1825.39,515.9,752661.5,13.76
119,2010-11-27,0.27,20802.13,5746.3,731859.37,13.87
120,2010-11-28,0.2299,35055.4,8802.06,696803.97,42.99
121,2010-11-29,0.2082,21476.25,4570.58,675327.72,44.29
122,2010-11-30,0.2275,8157.89,1752.72,683485.61,58.09
123,2010-12-01,0.255,20312.23,4800.55,703797.84,70.27
124,2010-12-02,0.251,2570.34,633.78,701227.5,70.15
125,2010-12-03,0.205,28560.72,6673.4,672666.78,86.02
126,2010-12-04,0.19,5740.18,1178.03,666926.6,78.92
127,2010-12-05,0.204,4319.26,863.02,671245.86,79.58
128,2010-12-06,0.233,24592.92,5411.8,695838.78,84.75
129,2010-12-07,0.2388,3430.41,789.86,699269.19,77.78
130,2010-12-08,0.2,21336.33,4411.94,677932.86,89.86
131,2010-12-09,0.204,1684.25,328.17,679617.11,72.77
132,2010-12-10,0.228,5788.69,1267.2,685405.8,73.4
133,2010-12-11,0.22,1963.56,418.8,683442.24,73.88
134,2010-12-12,0.2299,6415.59,1425.92,689857.83,64.58
135,2010-12-13,0.2467,10388.1,2403.83,700245.93,67.36
136,2010-12-15,0.25,14355.33,3522.62,710916.58,38.86
137,2010-12-16,0.24,525.51,130.19,710391.07,33.77
138,2010-12-18,0.2401,2000.76,487.49,708559.42,29.58
139,2010-12-19,0.267,10682.71,2769.88,719242.13,36.87
140,2010-12-20,0.24,9225.79,2291.81,710016.34,48.21
141,2010-12-21,0.25,3800.46,949.38,713816.8,47.54
142,2010-12-22,0.25,8650.15,2160.74,713816.8,45.73
143,2010-12-23,0.248,5033.25,1252.05,708783.55,45.91
144,2010-12-24,0.2499,703.0,175.44,709486.55,45.83
145,2010-12-25,0.265,16584.97,4203.03,726071.52,37.97
146,2010-12-26,0.265,4935.49,1270.15,726071.52,17.67
147,2010-12-27,0.281,15438.71,4238.98,741510.23,20.26
148,2010-12-28,0.3,18609.14,5363.75,760119.37,22.34
149,2010-12-29,0.3,2539.87,759.92,760119.37,21.21
150,2010-12-30,0.3,1453.72,428.44,760119.37,22.05
151,2010-12-31,0.3,2821.24,841.95,760119.37,21.16
152,2011-01-01,0.3,5352.11,1584.66,760119.37,21.16
153,2011-01-02,0.295,1425.19,420.85,758694.18,19.03
154,2011-01-03,0.2989,1879.0,548.33,760573.18,6.272
155,2011-01-04,0.299,357.16,106.19,760930.34,6.276
156,2011-01-05,0.298,3456.49,1031.28,757473.85,6.315
157,2011-01-06,0.32,42601.12,13152.15,800074.97,20.52
158,2011-01-07,0.3229,1629.44,512.04,801704.41,20.25
159,2011-01-08,0.32299999999999995,1691.37,546.18,803395.78,18.57
160,2011-01-09,0.3266,10355.83,3360.65,813751.61,18.6
161,2011-01-10,0.3266,4857.8,1578.66,813751.61,18.62
162,2011-01-11,0.3188,31359.77,10508.17,782391.84,21.06
163,2011-01-12,0.3176,20118.9,7147.03,762272.94,8.304
164,2011-01-13,0.4,27130.96,10691.11,789403.9,63.43
165,2011-01-14,0.386,1515.66,591.15,787888.24,65.86
166,2011-01-15,0.3868,2778.71,1085.16,790666.95,66.12
167,2011-01-16,0.3495,18241.15,6360.69,772425.8,74.93
168,2011-01-17,0.313,15671.51,4950.51,756754.29,81.74
169,2011-01-18,0.313,7291.63,2247.62,756754.29,81.75
170,2011-01-19,0.39,19881.98,6900.05,776636.27,79.1
171,2011-01-20,0.4199,8477.55,3351.62,785113.82,80.79
172,2011-01-21,0.4443,10534.27,4513.91,795648.09,81.41
173,2011-01-22,0.4424,1148.4,505.83,794499.69,72.18
174,2011-01-23,0.4199,11061.94,4516.68,783437.75,62.8
175,2011-01-24,0.41,2163.72,901.25,781274.03,64.71
176,2011-01-26,0.4212,27708.2,12086.9,824547.04,24.47
177,2011-01-27,0.446,5324.5,2301.77,829871.54,24.61
178,2011-01-28,0.439,1448.38,643.63,828423.16,25.0
179,2011-01-29,0.4799,10383.59,4775.81,838806.75,28.64
180,2011-01-30,0.52,63516.08,32708.4,902322.83,27.77
181,2011-01-31,0.7,31562.12,23264.18,933884.95,73.19
182,2011-02-01,0.716,5627.48,4126.02,939512.43,72.12
183,2011-02-02,0.69,8524.5,6064.12,930987.93,79.72
184,2011-02-03,0.8109999999999999,42222.19,33965.74,973210.12,76.84
185,2011-02-04,0.92,15786.81,13634.2,988996.93,76.93
186,2011-02-05,0.8997,8744.11,7608.77,980252.82,84.75
187,2011-02-06,0.89,2264.28,1949.54,977988.54,55.07
188,2011-02-08,1.09,49632.5,47455.01,1034642.33,57.64
189,2011-02-09,0.9803,26559.64,25568.81,1008082.69,67.37
190,2011-02-10,1.07,13299.18,13213.54,1021381.87,63.35
191,2011-02-11,1.08,4118.92,4353.79,1025500.79,61.85
192,2011-02-12,1.05,3240.64,3398.3,1022260.15,63.02
193,2011-02-13,1.07,7096.55,7532.41,1029356.7,63.04
194,2011-02-14,1.05,8616.58,9085.5,1020740.12,41.98
195,2011-02-15,1.045,7192.38,7465.03,1013547.74,27.34
196,2011-02-16,1.04,4009.84,4184.96,1009537.9,11.43
