Date,close,VOLALITY7day
2017-06-30,1.05,50.91
2017-07-01,3.0,482.77
2017-07-02,4.2,323.96
2017-07-03,3.24,367.53
2017-07-04,2.86,339.21
2017-07-05,3.23,304.42
2017-07-06,2.65,324.19
2017-07-07,2.37,148.37
2017-07-08,2.22,86.39
2017-07-09,1.7,87.54
2017-07-10,1.53,87.36
2017-07-11,1.96,117.18
2017-07-12,1.71,113.05
2017-07-13,1.51,113.47
2017-07-14,1.29,115.48
2017-07-15,1.22,100.45
2017-07-16,1.51,121.12
2017-07-17,1.67,99.25
2017-07-18,1.45,99.72
2017-07-19,1.71,105.51
2017-07-20,1.79,88.49
2017-07-21,2.03,82.06
2017-07-22,1.91,77.85
2017-07-23,1.9,75.76
2017-07-24,1.67,73.51
2017-07-25,1.66,57.62
2017-07-26,1.91,69.28
2017-07-27,1.8,59.85
2017-07-28,1.81,58.56
2017-07-29,1.79,58.55
2017-07-30,1.72,46.46
2017-07-31,1.77,46.68
2017-08-01,1.76,20.85
2017-08-02,1.78,15.33
2017-08-03,1.78,15.17
2017-08-04,1.86,19.24
2017-08-05,1.76,22.6
2017-08-06,1.83,23.74
2017-08-07,1.86,23.57
2017-08-08,1.82,24.95
2017-08-09,1.84,24.98
2017-08-10,1.76,24.49
2017-08-11,1.65,26.08
2017-08-12,1.59,21.0
2017-08-13,1.61,20.4
2017-08-14,1.62,22.0
2017-08-15,1.59,19.78
2017-08-16,1.52,19.83
2017-08-17,1.4,23.23
2017-08-18,1.39,23.54
2017-08-19,1.36,20.76
2017-08-20,1.33,17.88
2017-08-21,1.27,17.51
2017-08-22,1.42,43.34
2017-08-23,1.37,38.24
2017-08-24,1.37,38.23
2017-08-25,1.36,37.79
2017-08-26,1.34,37.46
2017-08-27,1.33,34.53
2017-08-28,1.32,8.246
2017-08-29,1.25,13.03
2017-08-30,1.34,26.54
2017-08-31,1.32,26.72
2017-09-01,1.24,30.99
2017-09-02,1.3,35.06
2017-09-03,0.9142,100.25
2017-09-04,0.9229999999999999,102.09
2017-09-05,0.9106,95.85
2017-09-06,0.9828,102.84
2017-09-07,0.8421,106.78
2017-09-08,0.8174,101.66
2017-09-09,0.745,53.13
2017-09-10,0.735,51.82
2017-09-11,0.8590000000000001,74.05
2017-09-12,0.7272,78.26
2017-09-13,0.5806,88.13
2017-09-14,0.6511,100.42
2017-09-15,0.624,98.93
2017-09-16,0.6233,99.16
2017-09-17,0.7049,94.15
2017-09-18,0.6493,86.14
2017-09-19,0.6166,58.14
2017-09-20,0.5671,51.22
2017-09-21,0.5659,51.04
2017-09-22,0.578,51.96
2017-09-23,0.5454,28.4
2017-09-24,0.5688,32.75
2017-09-25,0.5614,31.33
2017-09-26,0.6314,39.16
2017-09-27,0.8085,71.89
2017-09-28,0.7146,87.44
2017-09-29,0.7274,82.65
2017-09-30,0.7085,85.09
2017-10-01,0.6549,90.1
2017-10-02,0.6308,85.93
2017-10-03,0.6008,31.65
2017-10-04,0.6054,23.68
2017-10-05,0.6005,20.12
2017-10-06,0.5895,20.42
2017-10-07,0.606,18.65
2017-10-08,0.5579999999999999,26.21
2017-10-09,0.552,24.59
2017-10-10,0.6076,38.78
2017-10-11,0.5947,39.2
2017-10-12,0.5872,39.02
2017-10-13,0.5836,37.94
2017-10-14,0.5738,29.69
2017-10-15,0.5608,30.41
2017-10-16,0.5501,4.119
2017-10-17,0.5432,3.887
2017-10-18,0.5663,15.86
2017-10-19,0.5395,19.55
2017-10-20,0.5284,19.64
2017-10-21,0.5192,19.48
2017-10-22,0.4924,22.35
2017-10-23,0.5176,29.09
2017-10-24,0.5041,24.37
2017-10-25,0.5189,25.23
2017-10-26,0.5213,24.9
2017-10-27,0.5339,25.18
2017-10-28,0.6668,58.0
2017-10-29,0.7125,58.15
2017-10-30,0.7826,52.57
2017-10-31,1.05,76.19
2017-11-01,1.11,70.66
2017-11-02,1.2,65.16
2017-11-03,1.11,78.85
2017-11-04,1.09,83.72
2017-11-05,0.9124,106.16
2017-11-06,0.9518,64.17
2017-11-07,1.12,79.31
2017-11-08,1.18,77.43
2017-11-09,1.03,83.64
2017-11-10,1.16,90.67
2017-11-11,1.09,73.53
2017-11-12,1.18,74.74
2017-11-13,1.68,111.44
2017-11-14,1.67,113.23
2017-11-15,1.67,97.87
2017-11-16,1.74,97.46
2017-11-17,1.92,87.99
2017-11-18,1.88,93.46
2017-11-19,1.99,29.93
2017-11-20,1.91,34.54
2017-11-21,1.89,35.25
2017-11-22,1.88,35.12
2017-11-23,1.88,21.71
2017-11-24,2.05,31.34
2017-11-25,2.46,55.2
2017-11-26,2.86,56.25
2017-11-27,2.76,59.57
2017-11-28,2.71,60.95
2017-11-29,2.84,58.12
2017-11-30,3.22,60.07
2017-12-01,3.91,61.96
2017-12-02,3.58,70.16
2017-12-03,4.04,68.62
2017-12-04,4.19,64.41
2017-12-05,4.47,63.96
2017-12-06,3.89,82.84
2017-12-07,4.22,67.79
2017-12-08,3.98,64.34
2017-12-09,3.67,58.9
2017-12-10,4.39,79.03
2017-12-11,5.08,86.76
2017-12-12,7.28,107.93
2017-12-13,8.2,107.71
2017-12-14,7.93,104.44
2017-12-15,8.35,87.54
2017-12-16,7.97,98.49
2017-12-17,8.88,97.46
2017-12-18,11.49,74.28
2017-12-19,10.44,85.19
2017-12-20,10.64,82.36
2017-12-21,7.69,129.88
2017-12-22,8.26,131.16
2017-12-23,7.99,127.05
2017-12-24,8.15,94.12
2017-12-25,8.6,97.34
2017-12-26,8.72,97.11
2017-12-27,8.1,35.72
2017-12-28,8.12,29.44
2017-12-29,7.08,46.86
2017-12-30,7.69,54.02
2017-12-31,7.64,50.17
2018-01-01,8.3,57.13
2018-01-02,9.43,62.51
2018-01-03,9.47,62.46
2018-01-04,9.29,39.68
2018-01-05,9.83,38.13
2018-01-06,10.16,35.23
2018-01-07,9.6,42.36
2018-01-08,9.23,28.51
2018-01-09,11.2,60.52
2018-01-10,11.27,59.17
2018-01-11,13.8,75.25
2018-01-12,16.0,78.41
2018-01-13,13.23,102.5
2018-01-14,12.78,102.14
2018-01-15,10.0,117.29
2018-01-16,10.15,117.47
2018-01-17,10.18,95.16
2018-01-18,11.07,84.49
2018-01-19,15.53,124.7
2018-01-20,13.47,132.44
2018-01-21,13.38,105.48
2018-01-22,12.88,107.88
2018-01-23,13.9,107.52
2018-01-24,14.25,107.17
2018-01-25,14.24,48.37
2018-01-26,14.38,25.2
2018-01-27,14.75,24.73
