,Date,close,volumefrom,volumeto,OBV,Volatility_7Day
0,2015-08-08,1.2,0.0,0.0,-1995.5,661.65
1,2015-08-09,1.2,0.0,0.0,-1995.5,405.18
2,2015-08-10,0.99,9486.09,7419.73,-11481.59,315.45
3,2015-08-11,1.288,2140.46,2376.28,-9341.13,335.07
4,2015-08-12,1.885,3163.29,4923.22,-6177.84,339.51
5,2015-08-13,1.795,5800.73,11070.41,-11978.57,140.35
6,2015-08-14,1.79,8711.24,14812.75,-20689.81,140.47
7,2015-08-15,1.374,9714.19,10794.95,-30404.0,166.91
8,2015-08-16,1.296,4325.42,6063.99,-34729.42,155.42
9,2015-08-18,1.24,4131.9,4769.3,-36470.6,70.88
10,2015-08-19,1.5219999999999998,1273.0,1771.6,-35197.6,103.01
11,2015-08-20,1.436,6310.99,9197.39,-41508.59,102.94
12,2015-08-21,1.4,229.59,321.76,-41738.18,72.6
13,2015-08-22,1.35,323.11,438.75,-42061.29,71.2
14,2015-08-23,1.238,5117.98,6460.83,-47179.27,73.48
15,2015-08-24,1.271,938.92,1188.35,-46240.35,69.41
16,2015-08-25,1.18,2043.44,2337.47,-48283.79,26.8
17,2015-08-26,1.136,230.3,269.07,-48514.09,26.32
18,2015-08-27,1.295,20767.1,26922.13,-27746.99,53.25
19,2015-08-28,1.179,329.64,383.37,-28076.63,57.52
20,2015-08-29,1.32,8505.13,10975.8,-19571.5,63.02
21,2015-08-30,1.307,3258.74,3959.42,-22830.24,62.99
22,2015-08-31,1.36,894.21,1220.61,-21936.03,57.84
23,2015-09-01,1.14,519.87,698.71,-22455.9,78.85
24,2015-09-02,1.234,2872.93,3717.92,-19582.97,72.37
25,2015-09-03,1.35,15.39,18.76,-19567.58,70.3
26,2015-09-04,1.37,7881.76,10437.44,-11685.82,64.01
27,2015-09-05,1.34,111.78,145.64,-11797.6,64.36
28,2015-09-06,1.276,393.9,526.2,-12191.5,64.53
29,2015-09-07,1.263,82.23,103.93,-12273.73,37.06
30,2015-09-08,1.21,21.42,27.57,-12295.15,33.68
31,2015-09-09,1.186,2866.95,3361.62,-15162.1,15.17
32,2015-09-10,0.9242,2877.26,3066.25,-18039.36,60.13
33,2015-09-11,1.146,509.27,513.1,-17530.09,97.39
