,Date,close,volumefrom,volumeto,OBV,Volatility_7Day
0,2013-10-25,3.0,0.0,0.0,0.0,0.0
1,2013-10-26,3.0,0.0,0.0,0.0,0.0
2,2013-10-27,3.0,0.0,0.0,0.0,0.0
3,2013-10-28,3.0,0.0,0.0,0.0,0.0
4,2013-10-29,3.0,0.0,0.0,0.0,0.0
5,2013-10-30,3.0,0.0,0.0,0.0,0.0
6,2013-10-31,3.0,0.0,0.0,0.0,0.0
7,2013-11-01,3.0,0.0,0.0,0.0,0.0
8,2013-11-02,3.0,0.0,0.0,0.0,0.0
9,2013-11-03,3.0,7.27,21.81,0.0,0.0
10,2013-11-04,3.0,0.0,0.0,0.0,0.0
11,2013-11-05,3.0,0.0,0.0,0.0,0.0
12,2013-11-06,3.2,9.001,28.8,9.001,17.37
13,2013-11-07,3.2,0.8219,2.63,9.001,17.37
14,2013-11-08,3.2,0.0,0.0,9.001,17.37
15,2013-11-09,3.2,0.0,0.0,9.001,17.37
16,2013-11-10,3.2,0.0,0.0,9.001,17.37
17,2013-11-11,3.2,0.0,0.0,9.001,17.37
18,2013-11-12,5.0,225.75,1128.77,234.75,120.1
19,2013-11-13,3.0,12.0,38.0,222.75,199.81
20,2013-11-14,5.0,10.06,50.3,232.81,244.5
21,2013-11-15,4.25,5.067,21.54,227.74,252.57
22,2013-11-16,4.25,0.0,0.0,227.74,252.57
23,2013-11-17,5.0,5.0,25.0,232.74,253.71
24,2013-11-18,9.0,29.14,272.36,261.88,273.8
25,2013-11-19,9.0,2.4730000000000003,22.26,261.88,199.53
26,2013-11-20,9.0,94.53,850.74,261.88,172.08
27,2013-11-21,10.0,63.81,658.15,325.69,150.6
28,2013-11-22,12.8,2577.36,32377.01,2903.05,144.83
29,2013-11-23,10.0,7.6160000000000005,96.56,2895.43,186.07
30,2013-11-24,12.0,183.41,2328.81,3078.84,115.09
31,2013-11-25,20.5,504.89,7634.59,3583.73,171.91
32,2013-11-26,35.99,457.22,14864.46,4040.95,197.67
33,2013-11-27,46.1,242.02,13001.19,4282.97,193.47
34,2013-11-28,41.0,292.59,11730.18,3990.38,218.01
35,2013-11-29,41.0,148.71,6048.13,3990.38,181.73
36,2013-11-30,35.3,50.11,1676.31,3940.27,209.9
37,2013-12-01,33.51,103.24,3620.97,3837.03,180.93
38,2013-12-02,33.0,208.13,7169.14,3628.9,92.82
39,2013-12-03,32.2,571.7,20974.84,3057.2,39.81
40,2013-12-04,38.0,700.64,24291.88,3757.84,67.49
41,2013-12-05,32.0,200.96,7020.76,3556.88,79.47
42,2013-12-06,22.78,334.46,7637.81,3222.42,111.88
43,2013-12-07,27.93,77.34,2092.79,3299.76,134.87
44,2013-12-08,31.98,116.9,3602.87,3416.66,142.23
45,2013-12-09,35.26,215.22,7327.32,3631.88,144.57
46,2013-12-10,31.57,428.65,13797.23,3203.23,138.57
47,2013-12-11,31.0,46.32,1459.21,3156.91,130.94
48,2013-12-12,30.59,127.04,3919.76,3029.87,76.68
49,2013-12-13,30.01,114.72,3515.69,2915.15,59.04
50,2013-12-14,30.92,251.9,7727.67,3167.05,45.03
51,2013-12-15,25.77,123.09,3419.23,3043.96,51.73
52,2013-12-16,23.74,223.59,5200.48,2820.37,49.46
53,2013-12-17,13.0,1001.01,14485.93,1819.36,155.48
54,2013-12-18,19.8,41.36,781.76,1860.72,218.49
55,2013-12-19,18.85,59.73,1168.64,1800.99,218.0
56,2013-12-20,17.13,9.363999999999999,169.56,1791.63,215.23
57,2013-12-21,18.0,133.66,2413.68,1925.29,216.42
58,2013-12-22,17.2,229.36,4050.06,1695.93,216.32
59,2013-12-23,18.0,53.75,944.91,1749.68,124.21
60,2013-12-24,22.06,310.75,5994.88,2060.43,70.74
61,2013-12-25,24.97,1008.08,24203.98,3068.51,71.78
62,2013-12-26,22.06,317.59,7416.26,2750.92,76.87
