Date,close,VOLALITY7day
2013-10-25,3.0,0.0
2013-10-26,3.0,0.0
2013-10-27,3.0,0.0
2013-10-28,3.0,0.0
2013-10-29,3.0,0.0
2013-10-30,3.0,0.0
2013-10-31,3.0,0.0
2013-11-01,3.0,0.0
2013-11-02,3.0,0.0
2013-11-03,3.0,0.0
2013-11-04,3.0,0.0
2013-11-05,3.0,0.0
2013-11-06,3.2,17.37
2013-11-07,3.2,17.37
2013-11-08,3.2,17.37
2013-11-09,3.2,17.37
2013-11-10,3.2,17.37
2013-11-11,3.2,17.37
2013-11-12,5.0,120.1
2013-11-13,3.0,199.81
2013-11-14,5.0,244.5
2013-11-15,4.25,252.57
2013-11-16,4.25,252.57
2013-11-17,5.0,253.71
2013-11-18,9.0,273.8
2013-11-19,9.0,199.53
2013-11-20,9.0,172.08
2013-11-21,10.0,150.6
2013-11-22,12.8,144.83
2013-11-23,10.0,186.07
2013-11-24,12.0,115.09
2013-11-25,20.5,171.91
2013-11-26,35.99,197.67
2013-11-27,46.1,193.47
2013-11-28,41.0,218.01
2013-11-29,41.0,181.73
2013-11-30,35.3,209.9
2013-12-01,33.51,180.93
2013-12-02,33.0,92.82
2013-12-03,32.2,39.81
2013-12-04,38.0,67.49
2013-12-05,32.0,79.47
2013-12-06,22.78,111.88
2013-12-07,27.93,134.87
2013-12-08,31.98,142.23
2013-12-09,35.26,144.57
2013-12-10,31.57,138.57
2013-12-11,31.0,130.94
2013-12-12,30.59,76.68
2013-12-13,30.01,59.04
2013-12-14,30.92,45.03
2013-12-15,25.77,51.73
2013-12-16,23.74,49.46
2013-12-17,13.0,155.48
2013-12-18,19.8,218.49
2013-12-19,18.85,218.0
2013-12-20,17.13,215.23
2013-12-21,18.0,216.42
2013-12-22,17.2,216.32
2013-12-23,18.0,124.21
2013-12-24,22.06,70.74
2013-12-25,24.97,71.78
2013-12-26,22.06,76.87
2013-12-27,22.33,77.22
2013-12-28,24.51,73.44
2013-12-29,24.96,74.24
2013-12-30,23.55,60.8
2013-12-31,24.77,51.43
2014-01-01,26.6,35.29
2014-01-02,25.49,40.55
2014-01-03,24.05,37.85
2014-01-04,26.01,43.79
2014-01-05,28.7,43.86
2014-01-06,23.0,80.3
2014-01-07,24.9,81.06
2014-01-08,24.5,80.48
2014-01-09,24.06,78.96
2014-01-10,26.35,80.1
2014-01-11,25.39,74.02
2014-01-12,25.01,36.81
2014-01-13,24.52,30.66
2014-01-14,24.52,30.34
2014-01-15,24.01,30.5
2014-01-16,24.0,9.247
2014-01-17,24.94,14.69
2014-01-18,24.9,14.17
2014-01-19,24.28,14.86
2014-01-20,25.49,20.15
2014-01-21,23.0,35.79
2014-01-22,22.3,36.23
2014-01-23,21.05,33.69
2014-01-24,22.26,40.51
2014-01-25,22.34,40.84
2014-01-26,20.78,37.6
2014-01-27,22.88,43.65
2014-01-28,21.7,45.34
2014-01-29,20.72,44.26
2014-01-30,21.59,42.72
2014-01-31,21.46,42.63
2014-02-01,21.87,37.12
2014-02-02,21.41,24.21
2014-02-03,21.07,20.39
2014-02-04,21.2,15.45
2014-02-05,19.8,19.91
2014-02-06,18.89,21.41
2014-02-07,17.5,21.23
2014-02-08,18.7,35.33
2014-02-09,17.9,35.67
2014-02-10,16.3,37.62
2014-02-11,19.49,69.16
2014-02-12,16.42,82.84
2014-02-13,16.76,81.54
2014-02-14,16.28,78.03
2014-02-15,15.23,78.8
2014-02-16,15.76,76.88
2014-02-17,17.28,60.65
2014-02-18,15.83,44.53
2014-02-19,15.95,43.99
2014-02-20,14.89,46.83
2014-02-21,13.32,52.35
2014-02-22,15.0,63.95
2014-02-23,15.22,56.34
2014-02-24,14.42,53.54
2014-02-25,15.85,61.35
2014-02-26,14.84,61.08
2014-02-27,15.05,49.53
2014-02-28,13.54,47.56
2014-03-01,12.86,47.07
2014-03-02,14.24,57.22
2014-03-03,17.11,73.1
2014-03-04,17.34,68.68
2014-03-05,16.82,70.37
2014-03-06,16.89,58.76
2014-03-07,15.56,63.16
2014-03-08,16.16,59.2
2014-03-09,16.21,27.66
