,Date,close,volumefrom,volumeto,OBV,Volatility_7Day
0,2017-10-11,0.0018,142200.0,290.1,-2135800.0,222.91
1,2017-10-12,0.00201,107700.0,220.02,-2028100.0,183.1
2,2017-10-13,0.00274,48800.0,119.52,-1979300.0,209.72
3,2017-10-14,0.00225,147500.0,393.05,-2126800.0,184.6
4,2017-10-15,0.00253,300800.0,667.39,-2427600.0,168.55
5,2017-10-16,0.00218,53800.0,97.83,-2481400.0,158.12
6,2017-10-18,0.0018,48328000.0,89849.51,-51470700.0,128.16
7,2017-10-19,0.00213,2373700.0,4509.58,-49097000.0,99.01
8,2017-10-20,0.00234,1118800.0,2288.51,-47978200.0,89.97
9,2017-10-21,0.00265,361400.0,921.61,-47616800.0,90.75
10,2017-10-22,0.00312,762000.0,2330.55,-46854800.0,82.43
11,2017-10-23,0.00266,295900.0,762.49,-47150700.0,89.03
12,2017-10-24,0.004,1308600.0,4061.19,-45842100.0,119.72
13,2017-10-25,0.00296,942000.0,2713.47,-46784100.0,165.58
14,2017-10-26,0.00312,969400.0,2972.17,-45814700.0,165.1
15,2017-10-29,0.00262,714200.0,1934.03,-46551400.0,183.15
16,2017-10-30,0.00278,2548600.0,7086.06,-44002800.0,132.18
17,2017-11-01,0.00212,207000.0,498.05,-44410700.0,116.99
18,2017-11-02,0.00217,53600.0,134.01,-44357100.0,97.41
19,2017-11-03,0.00218,116400.0,271.48,-44240700.0,66.01
20,2017-11-04,0.00248,171200.0,387.15,-44069500.0,79.61
21,2017-11-05,0.00183,389800.0,861.38,-44459300.0,107.57
22,2017-11-06,0.00231,217300.0,474.17,-44242000.0,120.0
23,2017-11-07,0.00236,1459500.0,3352.05,-42782500.0,118.79
24,2017-11-08,0.00243,469900.0,1109.85,-42312600.0,118.82
25,2017-11-09,0.00228,333400.0,720.97,-42646000.0,120.94
26,2017-11-10,0.00225,495600.0,1032.35,-43141600.0,114.41
27,2017-11-11,0.00185,1852800.0,3952.79,-44994400.0,92.33
28,2017-11-12,0.00215,868000.0,1856.03,-44126400.0,75.5
29,2017-11-13,0.0025,1519400.0,3668.41,-42607000.0,87.54
30,2017-11-14,0.0023,1885200.0,4511.73,-44492200.0,90.54
31,2017-11-15,0.0022,1868900.0,4017.53,-46361100.0,89.68
32,2017-11-16,0.002,2197500.0,4538.75,-48558600.0,92.92
33,2017-11-17,0.00193,4680200.0,9094.27,-53238800.0,74.76
34,2017-11-18,0.00196,1861700.0,3738.86,-51377100.0,59.58
35,2017-11-19,0.00215,2667700.0,5596.28,-48709400.0,45.94
36,2017-11-20,0.00212,2316000.0,4955.41,-51025400.0,41.92
37,2017-11-21,0.00253,1802100.0,4683.04,-49223300.0,64.15
38,2017-11-22,0.00233,4124000.0,11105.72,-53347300.0,62.13
39,2017-11-23,0.0021,2196500.0,4595.53,-55543800.0,70.17
40,2017-11-24,0.002,2432200.0,5022.97,-57976000.0,72.16
41,2017-11-25,0.0020800000000000003,2447100.0,5294.15,-55528900.0,67.72
42,2017-11-26,0.00209,853100.0,1796.12,-54675800.0,67.71
43,2017-11-27,0.0022600000000000003,5413300.0,13104.46,-49262500.0,47.09
44,2017-11-28,0.00215,4102300.0,9399.59,-53364800.0,43.99
45,2017-11-29,0.0022,2574300.0,5551.55,-50790500.0,33.24
46,2017-11-30,0.00206,3670400.0,7646.94,-54460900.0,35.95
47,2017-12-01,0.00202,2156600.0,4397.08,-56617500.0,34.53
48,2017-12-02,0.002,3583400.0,7542.13,-60200900.0,34.4
49,2017-12-03,0.00212,6754400.0,13814.27,-53446500.0,30.26
