,Date,close,volumefrom,volumeto,OBV,Volatility_7Day
0,2017-01-18,0.002251,0.0,0.0,0.0,0.0
1,2017-01-19,0.002957,533957.26,1595.84,533957.26,139.29
2,2017-01-20,0.0025,1410111.41,3184.71,-876154.15,142.36
3,2017-01-23,0.002212,7377240.31,16592.82,-8131964.27,99.61
4,2017-01-25,0.002154,1163887.27,2446.65,-9775736.25,45.12
5,2017-01-26,0.002152,629329.79,1414.58,-10405066.04,26.74
6,2017-01-27,0.002153,5043.91,10.86,-10400022.13,8.375
7,2017-01-28,0.0022,36060.79,77.82,-10363961.34,10.93
8,2017-01-29,0.0024,1006695.45,2416.03,-9357265.89,25.17
9,2017-01-30,0.002149,281802.73,643.43,-9639068.62,42.04
10,2017-02-01,0.002215,953700.33,2224.2,-10525555.72,68.25
11,2017-02-02,0.002292,475728.62,1090.8,-10049827.1,68.67
12,2017-02-03,0.002292,0.0,0.0,-10049827.1,68.61
13,2017-02-04,0.002442,227.87,0.5541,-10049599.23,66.47
14,2017-02-05,0.0023420000000000003,168.84,0.3987,-10049768.07,58.37
15,2017-02-06,0.002275,4467.2,10.34,-10054235.27,41.05
16,2017-02-07,0.0022,765616.04,1695.88,-10819851.31,27.8
17,2017-02-10,0.0023190000000000003,60262.52,131.39,-13502781.62,36.22
18,2017-02-11,0.002168,22149.13,45.38,-13524930.75,38.82
19,2017-02-12,0.002168,0.0,0.0,-13524930.75,38.55
20,2017-02-14,0.001894,1592.48,3.069,-13533930.57,50.38
21,2017-02-15,0.002164,1082.13,2.367,-13532848.44,62.25
22,2017-02-16,0.002361,100.0,0.2361,-13532748.44,64.84
23,2017-02-22,0.00196,170007.2,334.57,-18784074.77,37.12
24,2017-02-23,0.001831,3283084.37,6257.86,-22067159.14,18.24
25,2017-02-24,0.001857,2787545.18,5052.28,-19279613.96,19.58
26,2017-02-25,0.001884,1534813.44,2877.57,-17744800.52,20.65
27,2017-02-28,0.0017399999999999998,5235290.98,9132.48,-23014246.85,39.7
28,2017-03-01,0.001736,7121430.3,12768.42,-30135677.15,36.58
29,2017-03-02,0.001702,3190055.67,5694.47,-33325732.82,35.86
30,2017-03-03,0.00175,1283975.89,2278.63,-32041756.93,36.96
31,2017-03-06,0.001967,3996673.69,7715.75,-26609369.37,24.23
32,2017-03-07,0.0018,5355010.33,10720.2,-31964379.7,38.33
33,2017-03-08,0.002014,5480745.01,9674.75,-26483634.69,46.27
34,2017-03-09,0.001402,9043039.07,15304.4,-35526673.76,114.78
35,2017-03-10,0.001661,3965651.22,6867.76,-31561022.54,127.86
36,2017-03-12,0.001849,9901407.53,19286.71,-16408680.58,127.03
37,2017-03-15,0.001691,7467538.14,13911.65,-21883955.22,67.1
38,2017-03-16,0.001768,6805210.31,12513.52,-15078744.91,51.29
39,2017-03-17,0.001983,11368386.27,21331.36,-3710358.64,57.5
40,2017-03-19,0.001999,2486896.72,4732.45,-9222863.78,86.44
41,2017-03-20,0.0021,8531655.16,17448.55,-691208.62,85.79
42,2017-03-22,0.0022,11105175.24,22547.69,2227483.43,90.47
43,2017-03-23,0.00195,36137520.62,80511.23,-33910037.19,94.83
44,2017-03-24,0.002,13661901.46,27441.55,-20248135.73,81.41
45,2017-03-25,0.001991,10212237.93,20671.03,-30460373.66,68.88
46,2017-03-26,0.00187,25387951.07,49005.9,-55848324.73,68.41
47,2017-03-27,0.002095,13180667.37,25682.12,-42667657.36,69.01
48,2017-03-28,0.001917,10728497.13,21410.71,-53396154.49,56.53
49,2017-03-29,0.0023,33985238.85,74485.64,-19410915.64,68.52
50,2017-03-30,0.002282,40073986.58,100535.66,-59484902.22,69.19
51,2017-03-31,0.00285,18803083.9,46777.65,-40681818.32,86.41
52,2017-04-01,0.004405,76502782.75,274219.75,35820964.43,121.79
53,2017-04-02,0.003036,66274878.28,262849.71,-30453913.85,185.44
54,2017-04-03,0.003011,25479729.57,79171.51,-55933643.42,180.97
55,2017-04-04,0.003082,52057466.08,167338.26,-3876177.34,177.84
56,2017-04-06,0.002719,36822292.0,103600.78,-79098299.21,171.19
57,2017-04-07,0.003064,32535322.59,96098.05,-46562976.62,110.42
58,2017-04-08,0.002769,35839237.02,103521.59,-82402213.64,53.2
