,Date,close,volumefrom,volumeto,OBV,Volatility_7Day
0,2018-11-20,55.9,12236.39,664570.58,-11474.63,246.46
1,2018-11-21,42.36,15421.95,695599.96,-26896.58,149.25
2,2018-11-22,54.63,33357.92,1663829.33,6461.34,210.24
3,2018-11-23,57.19,23872.59,1399534.2,30333.93,169.9
4,2018-11-24,86.12,41466.03,3045991.57,71799.96,209.64
5,2018-11-25,104.63,62239.43,6469826.82,134039.39,154.42
6,2018-11-26,90.85,29496.53,2932164.19,104542.86,169.31
7,2018-11-27,91.5,30986.43,2878929.66,135529.29,129.65
8,2018-11-28,95.67,34529.05,3179429.12,170058.34,124.11
9,2018-11-29,95.91,36645.67,3576045.97,206704.01,126.08
10,2018-11-30,94.12,16465.83,1543061.34,190238.18,71.56
11,2018-12-01,99.51,22413.83,2176680.27,212652.01,46.63
12,2018-12-02,95.98,22548.9,2131440.29,190103.11,23.4
13,2018-12-03,90.02,8521.34,783275.3,181581.77,30.66
14,2018-12-04,86.01,27206.35,2398014.01,154375.42,28.07
15,2018-12-05,104.99,31703.05,3154369.67,186078.47,65.48
16,2018-12-06,105.48,48098.24,5161310.84,234176.71,64.73
17,2018-12-07,97.96,16800.14,1700514.33,217376.57,67.68
18,2018-12-08,97.38,14694.16,1424136.61,202682.41,66.86
19,2018-12-09,95.32,5790.87,568732.05,196891.54,64.1
20,2018-12-10,88.91,11138.24,1002696.39,185753.3,66.19
21,2018-12-11,87.75,4036.88,361882.63,181716.42,22.14
22,2018-12-12,78.8,10045.78,841733.3,171670.64,26.99
23,2018-12-13,71.85,19024.1,1459862.43,152646.54,28.88
24,2018-12-14,67.91,9492.5,655119.66,143154.04,24.84
25,2018-12-15,77.94,10716.0,826603.39,153870.04,59.34
26,2018-12-16,83.43,13844.44,1116468.8,167714.48,63.49
27,2018-12-17,85.94,8237.16,679656.03,175951.64,64.38
28,2018-12-18,87.63,20259.05,1852740.15,196210.69,54.91
29,2018-12-19,113.61,58291.28,6327175.82,254501.97,72.5
30,2018-12-20,110.56,44726.86,5316928.61,209775.11,68.15
31,2018-12-21,111.48,35278.34,3879896.7,245053.45,67.72
32,2018-12-22,109.42,14617.1,1612429.49,230436.35,70.74
33,2018-12-23,104.35,26728.43,2959092.14,203707.92,75.12
34,2018-12-24,94.47,23576.45,2228114.58,180131.47,83.26
35,2018-12-25,96.88,12146.25,1168529.98,192277.72,29.04
36,2018-12-26,86.59,17747.36,1602105.03,174530.36,37.12
37,2018-12-27,95.92,23427.33,2056026.72,197957.69,53.1
38,2018-12-28,90.39,5648.48,525103.78,192309.21,53.8
39,2018-12-29,91.49,3661.65,332865.97,195970.86,54.68
40,2018-12-30,86.8,9100.26,799712.68,186870.6,50.17
41,2018-12-31,93.92,12418.15,1152496.01,199288.75,55.6
42,2019-01-01,96.55,11088.77,1051098.08,210377.52,43.64
43,2019-01-02,90.39,16828.97,1551265.56,193548.55,38.64
44,2019-01-03,89.93,13307.74,1186045.33,180240.81,35.21
45,2019-01-04,89.53,10433.85,943680.38,169806.96,34.96
46,2019-01-05,92.29,7154.93,648788.56,176961.89,31.84
47,2019-01-06,89.51,4174.27,375577.14,172787.62,24.0
48,2019-01-07,88.63,8609.71,762298.64,164177.91,21.11
49,2019-01-08,88.1,6120.51,540307.48,158057.4,12.94
50,2019-01-09,76.61,30779.37,2525526.22,127278.03,38.73
51,2019-01-10,75.33,11387.09,858793.02,115890.94,38.25
52,2019-01-11,83.49,28662.86,2373664.49,144553.8,50.88
53,2019-01-12,78.11,39542.04,3295865.95,105011.76,52.63
54,2019-01-13,80.66,19837.53,1587771.73,124849.29,54.69
55,2019-01-14,77.71,10439.77,826911.23,114409.52,54.85
56,2019-01-15,78.2,9647.65,756539.28,124057.17,39.21
57,2019-01-16,78.84,8343.58,648208.45,132400.75,38.66
58,2019-01-17,76.35,7172.97,550037.89,125227.78,24.06
59,2019-01-18,78.14,9427.15,736660.04,134654.93,18.86
60,2019-01-19,75.23,9757.11,738802.36,124897.82,17.91
61,2019-01-20,74.97,9595.93,724437.78,115301.89,15.9
62,2019-01-21,76.85,10223.7,769617.85,125525.59,17.81
63,2019-01-22,76.12,7354.63,559392.44,118170.96,17.49
64,2019-01-23,75.48,5474.31,411371.31,112696.65,15.44
65,2019-01-24,75.32,7397.93,558396.26,105298.72,13.21
66,2019-01-25,74.66,4830.17,362800.9,100468.55,8.646
67,2019-01-26,71.87,5960.24,434366.72,94508.31,13.22
68,2019-01-27,65.58,27130.1,1789495.87,67378.21,22.63
69,2019-01-28,64.24,10971.92,708097.57,56406.29,22.1
70,2019-01-29,67.2,13761.73,912374.97,70168.02,29.66
71,2019-01-30,64.58,12349.17,807132.26,57818.85,29.49
72,2019-01-31,65.11,8440.13,546687.52,66258.98,30.67
73,2019-02-01,66.44,4486.37,294796.33,70745.35,32.12
74,2019-02-02,64.67,3796.76,245990.55,66948.59,21.28
75,2019-02-03,63.56,4393.69,279633.98,62554.9,21.05
76,2019-02-04,61.1,7492.97,462730.87,55061.93,16.51
77,2019-02-05,63.65,51153.12,3279729.09,106215.05,20.21
78,2019-02-06,63.25,20136.33,1286880.05,86078.72,19.92
79,2019-02-07,68.09,32620.07,2162425.26,118698.79,28.94
80,2019-02-08,66.83,15462.8,1043847.49,103235.99,28.24
81,2019-02-09,66.93,12253.14,797731.05,115489.13,27.36
82,2019-02-10,65.58,9441.08,623906.94,106048.05,24.81
83,2019-02-11,66.42,13233.6,871669.71,119281.65,23.03
84,2019-02-12,65.27,5496.28,363429.14,113785.37,23.78
85,2019-02-13,63.38,5599.76,359282.27,108185.61,10.38
86,2019-02-14,62.33,6746.43,419995.96,101439.18,10.28
87,2019-02-15,62.48,4046.3,254044.55,105485.48,10.39
88,2019-02-16,63.8,9675.4,615181.34,115160.88,12.94
89,2019-02-17,68.81,34409.5,2346378.42,149570.38,25.35
90,2019-02-18,67.78,15809.04,1104182.63,133761.34,25.17
91,2019-02-19,68.12,6502.52,436766.72,140263.86,22.49
92,2019-02-20,66.24,7577.19,504362.77,132686.67,23.91
93,2019-02-21,66.55,4380.56,290620.24,137067.23,23.85
94,2019-02-22,69.95,10835.07,732127.43,147902.3,26.11
95,2019-02-23,61.6,22054.3,1439702.8,125848.0,39.17
96,2019-02-24,68.91,42457.1,2921628.62,168305.1,52.74
97,2019-02-25,75.36,47027.85,3459850.53,215332.95,57.71
98,2019-02-26,68.8,32679.04,2316721.43,182653.91,64.11
99,2019-02-27,67.97,12909.7,883981.97,169744.21,64.31
100,2019-02-28,67.86,7747.54,530918.44,161996.67,62.56
101,2019-03-01,67.73,6452.64,435307.69,155544.03,48.91
102,2019-03-02,66.07,3073.59,204612.4,152470.44,38.18
103,2019-03-03,63.65,7885.62,506493.28,144584.82,22.26
104,2019-03-04,68.05,19810.53,1338049.89,164395.35,23.97
105,2019-03-05,67.85,6452.02,436755.35,157943.33,23.75
106,2019-03-06,67.7,6706.89,452395.68,151236.44,23.75
107,2019-03-07,65.95,15219.2,1038912.35,136017.24,24.77
108,2019-03-08,67.53,9378.12,631026.81,145395.36,24.74
109,2019-03-09,67.71,5806.94,393027.35,151202.3,21.05
110,2019-03-10,65.72,5674.69,376993.81,145527.61,13.03
111,2019-03-11,66.67,6523.03,425604.57,152050.64,14.15
112,2019-03-12,65.7,5514.71,360724.41,146535.93,14.48
113,2019-03-13,66.56,10931.41,727401.22,157467.34,13.29
114,2019-03-14,68.14,11511.14,778819.96,168978.48,13.26
115,2019-03-15,68.35,13180.04,934515.87,182158.52,13.27
116,2019-03-16,68.99,4191.39,287486.39,186349.91,8.562999999999999
117,2019-03-17,67.53,11897.27,809368.25,174452.64,11.27
118,2019-03-18,67.59,8075.97,540186.07,182528.61,9.954
119,2019-03-19,67.59,7636.48,511872.24,182528.61,9.624
120,2019-03-20,66.07,11060.61,738479.3,171468.0,8.908999999999997
121,2019-03-21,66.91,3484.3,231861.26,174952.3,9.982
122,2019-03-22,67.55,4576.71,308032.88,179529.01,10.0
123,2019-03-23,66.36,1948.23,129925.69,177580.78,9.476
124,2019-03-24,64.56,11019.24,710737.11,166561.54,11.38
125,2019-03-25,64.36,7673.5,491007.32,158888.04,11.22
126,2019-03-26,66.11,6657.52,434470.91,165545.56,13.35
127,2019-03-27,64.98,2817.0,183214.42,162728.56,13.34
128,2019-03-28,65.49,6327.76,412348.17,169056.32,13.18
129,2019-03-29,65.68,5501.57,363690.61,174557.89,12.63
130,2019-03-30,65.67,2056.43,133867.48,172501.46,9.542
131,2019-03-31,66.7,6509.95,430157.42,179011.41,9.849
132,2019-04-01,79.52,51794.77,3769664.15,230806.18,47.38
133,2019-04-02,83.17,113959.3,10148548.82,344765.48,44.79
134,2019-04-03,83.25,47524.71,4147528.28,392290.19,45.26
135,2019-04-04,84.62,18027.54,1520744.44,410317.73,44.45
136,2019-04-05,85.35,16202.39,1401790.17,426520.12,43.78
137,2019-04-06,87.04,15896.78,1378378.53,442416.9,43.57
138,2019-04-07,83.69,20199.01,1687831.68,422217.89,18.28
139,2019-04-08,78.67,8653.45,689752.34,413564.44,22.01
140,2019-04-09,80.07,7384.25,592613.22,420948.69,23.12
141,2019-04-10,71.86,19926.68,1483210.2,401022.01,34.11
142,2019-04-11,71.96,29709.19,2151786.94,430731.2,33.5
143,2019-04-12,70.42,14498.83,1033045.33,416232.37,30.02
