,Date,close,volumefrom,volumeto,OBV,Volatility_7Day
0,2017-06-30,1.05,113633.8,125944.71,138041.03,50.91
1,2017-07-01,3.0,3376175.73,7026243.78,3514216.76,482.77
2,2017-07-02,4.2,5163248.87,21951537.56,8677465.63,323.96
3,2017-07-03,3.24,5685188.3,18817513.89,2992277.33,367.53
4,2017-07-04,2.86,2806799.47,8117576.76,185477.86,339.21
5,2017-07-05,3.23,3087241.14,10051055.11,3272719.0,304.42
6,2017-07-06,2.65,2628176.11,7465810.66,644542.89,324.19
7,2017-07-07,2.37,3640354.7,8588127.54,-2995811.81,148.37
8,2017-07-08,2.22,2356408.2,5414423.53,-5352220.01,86.39
9,2017-07-09,1.7,4160860.83,7816152.14,-9513080.84,87.54
10,2017-07-10,1.53,5655830.72,8732379.96,-15168911.56,87.36
11,2017-07-11,1.96,3609408.12,6247001.72,-11559503.44,117.18
12,2017-07-12,1.71,2204503.01,3892904.76,-13764006.45,113.05
13,2017-07-13,1.51,2381294.02,3712786.63,-16145300.47,113.47
14,2017-07-14,1.29,3005248.26,4110173.01,-19150548.73,115.48
15,2017-07-15,1.22,2982295.95,3648786.36,-22132844.68,100.45
16,2017-07-16,1.51,3526703.25,4910881.48,-18606141.43,121.12
17,2017-07-17,1.67,3119443.2,5033825.27,-15486698.23,99.25
18,2017-07-18,1.45,2861968.83,4576710.7,-18348667.06,99.72
19,2017-07-19,1.71,2061495.0,3412364.43,-16287172.06,105.51
20,2017-07-20,1.79,2322747.37,4266150.4,-13964424.69,88.49
21,2017-07-21,2.03,1998596.76,3886531.34,-11965827.93,82.06
22,2017-07-22,1.91,2632662.43,5162630.73,-14598490.36,77.85
23,2017-07-23,1.9,1801483.72,3396305.02,-16399974.08,75.76
24,2017-07-24,1.67,3031368.07,5017566.25,-19431342.15,73.51
25,2017-07-25,1.66,2877282.32,4538640.43,-22308624.47,57.62
26,2017-07-26,1.91,2931375.89,5308046.55,-19377248.58,69.28
27,2017-07-27,1.8,2789325.46,5264663.52,-22166574.04,59.85
28,2017-07-28,1.81,2788418.01,4810950.06,-19378156.03,58.56
29,2017-07-29,1.79,1747337.48,3085982.59,-21125493.51,58.55
30,2017-07-30,1.72,2282435.58,3919388.58,-23407929.09,46.46
