Date,close,VOLALITY7day
2017-01-18,0.002251,0.0
2017-01-19,0.002957,139.29
2017-01-20,0.0025,142.36
2017-01-21,0.0022530000000000002,123.4
2017-01-22,0.0022719999999999997,108.79
2017-01-23,0.002212,99.61
2017-01-24,0.0021780000000000002,99.65
2017-01-25,0.002154,45.12
2017-01-26,0.002152,26.74
2017-01-27,0.002153,8.375
2017-01-28,0.0022,10.93
2017-01-29,0.0024,25.17
2017-01-30,0.002149,42.04
2017-01-31,0.0024809999999999997,57.12
2017-02-01,0.002215,68.25
2017-02-02,0.002292,68.67
2017-02-03,0.002292,68.61
2017-02-04,0.002442,66.47
2017-02-05,0.0023420000000000003,58.37
2017-02-06,0.002275,41.05
2017-02-07,0.0022,27.8
2017-02-08,0.0020559999999999997,29.99
2017-02-09,0.0021809999999999998,36.57
2017-02-10,0.0023190000000000003,36.22
2017-02-11,0.002168,38.82
2017-02-12,0.002168,38.55
2017-02-13,0.0018920000000000002,52.0
2017-02-14,0.001894,50.38
2017-02-15,0.002164,62.25
2017-02-16,0.002361,64.84
2017-02-17,0.0020469999999999998,74.41
2017-02-18,0.0019850000000000002,74.53
2017-02-19,0.0019850000000000002,63.42
2017-02-20,0.0019850000000000002,63.43
2017-02-21,0.0019510000000000003,48.81
2017-02-22,0.00196,37.12
2017-02-23,0.001831,18.24
2017-02-24,0.001857,19.58
2017-02-25,0.001884,20.65
2017-02-26,0.0018039999999999998,22.3
2017-02-27,0.0019199999999999998,30.62
2017-02-28,0.0017399999999999998,39.7
2017-03-01,0.001736,36.58
2017-03-02,0.001702,35.86
2017-03-03,0.00175,36.96
2017-03-04,0.0017420000000000003,35.57
2017-03-05,0.0018170000000000003,32.5
2017-03-06,0.001967,24.23
2017-03-07,0.0018,38.33
2017-03-08,0.002014,46.27
2017-03-09,0.001402,114.78
2017-03-10,0.001661,127.86
2017-03-11,0.0017670000000000001,128.64
2017-03-12,0.001849,127.03
2017-03-13,0.0018170000000000003,124.63
2017-03-14,0.0019379999999999998,121.56
2017-03-15,0.001691,67.1
2017-03-16,0.001768,51.29
2017-03-17,0.001983,57.5
2017-03-18,0.0017010000000000003,72.55
2017-03-19,0.001999,86.44
2017-03-20,0.0021,85.79
2017-03-21,0.0018800000000000002,82.09
2017-03-22,0.0022,90.47
2017-03-23,0.00195,94.83
2017-03-24,0.002,81.41
2017-03-25,0.001991,68.88
2017-03-26,0.00187,68.41
2017-03-27,0.002095,69.01
2017-03-28,0.001917,56.53
2017-03-29,0.0023,68.52
2017-03-30,0.002282,69.19
2017-03-31,0.00285,86.41
2017-04-01,0.004405,121.79
2017-04-02,0.003036,185.44
2017-04-03,0.003011,180.97
2017-04-04,0.003082,177.84
2017-04-05,0.0028309999999999997,181.15
2017-04-06,0.002719,171.19
2017-04-07,0.003064,110.42
2017-04-08,0.002769,53.2
2017-04-09,0.002858,54.72
2017-04-10,0.0028,53.76
2017-04-11,0.003097,56.23
2017-04-12,0.0031320000000000002,53.47
2017-04-13,0.0032229999999999997,44.08
2017-04-14,0.0033689999999999996,26.5
2017-04-15,0.0036229999999999995,28.58
2017-04-16,0.0035310000000000003,29.55
2017-04-17,0.0037,22.38
2017-04-18,0.0035340000000000002,30.34
2017-04-19,0.0034549999999999997,32.17
2017-04-20,0.003453,30.42
2017-04-21,0.0034990000000000004,21.74
2017-04-22,0.0035020000000000003,20.78
2017-04-23,0.004,41.12
2017-04-24,0.0037700000000000003,42.9
2017-04-25,0.004026,43.5
2017-04-26,0.004033,43.39
2017-04-27,0.004535,49.38
2017-04-28,0.004661,47.89
2017-04-29,0.004804999999999999,39.18
2017-04-30,0.005,26.45
2017-05-01,0.005054,27.21
2017-05-02,0.005145,25.65
2017-05-03,0.006769,67.36
2017-05-04,0.01065,121.47
2017-05-05,0.0209,181.01
2017-05-06,0.039,191.4
2017-05-07,0.04068,186.79
2017-05-08,0.0275,265.51
2017-05-09,0.0322,267.54
2017-05-10,0.03681,261.22
2017-05-11,0.04099,213.19
